,pclass,sex,age,sibsp,parch,fare,embarked
704,3,male,26.0,1,0,7.8542,S
705,2,male,39.0,0,0,26.0,S
706,2,female,45.0,0,0,13.5,S
707,1,male,42.0,0,0,26.2875,S
708,1,female,22.0,0,0,151.55,S
709,3,male,,1,1,15.2458,C
710,1,female,24.0,0,0,49.5042,C
711,1,male,,0,0,26.55,S
712,1,male,48.0,1,0,52.0,S
713,3,male,29.0,0,0,9.4833,S
714,2,male,52.0,0,0,13.0,S
715,3,male,19.0,0,0,7.65,S
716,1,female,38.0,0,0,227.525,C
717,2,female,27.0,0,0,10.5,S
718,3,male,,0,0,15.5,Q
719,3,male,33.0,0,0,7.775,S
720,2,female,6.0,0,1,33.0,S
721,3,male,17.0,1,0,7.0542,S
722,2,male,34.0,0,0,13.0,S
723,2,male,50.0,0,0,13.0,S
724,1,male,27.0,1,0,53.1,S
725,3,male,20.0,0,0,8.6625,S
726,2,female,30.0,3,0,21.0,S
727,3,female,,0,0,7.7375,Q
728,2,male,25.0,1,0,26.0,S
729,3,female,25.0,1,0,7.925,S
730,1,female,29.0,0,0,211.3375,S
731,3,male,11.0,0,0,18.7875,C
732,2,male,,0,0,0.0,S
733,2,male,23.0,0,0,13.0,S
734,2,male,23.0,0,0,13.0,S
735,3,male,28.5,0,0,16.1,S
736,3,female,48.0,1,3,34.375,S
737,1,male,35.0,0,0,512.3292,C
738,3,male,,0,0,7.8958,S
739,3,male,,0,0,7.8958,S
740,1,male,,0,0,30.0,S
741,1,male,36.0,1,0,78.85,S
742,1,female,21.0,2,2,262.375,C
743,3,male,24.0,1,0,16.1,S
744,3,male,31.0,0,0,7.925,S
745,1,male,70.0,1,1,71.0,S
746,3,male,16.0,1,1,20.25,S
747,2,female,30.0,0,0,13.0,S
748,1,male,19.0,1,0,53.1,S
749,3,male,31.0,0,0,7.75,Q
750,2,female,4.0,1,1,23.0,S
751,3,male,6.0,0,1,12.475,S
752,3,male,33.0,0,0,9.5,S
753,3,male,23.0,0,0,7.8958,S
754,2,female,48.0,1,2,65.0,S
755,2,male,0.67,1,1,14.5,S
756,3,male,28.0,0,0,7.7958,S
757,2,male,18.0,0,0,11.5,S
758,3,male,34.0,0,0,8.05,S
759,1,female,33.0,0,0,86.5,S
760,3,male,,0,0,14.5,S
761,3,male,41.0,0,0,7.125,S
762,3,male,20.0,0,0,7.2292,C
763,1,female,36.0,1,2,120.0,S
764,3,male,16.0,0,0,7.775,S
765,1,female,51.0,1,0,77.9583,S
766,1,male,,0,0,39.6,C
767,3,female,30.5,0,0,7.75,Q
768,3,male,,1,0,24.15,Q
769,3,male,32.0,0,0,8.3625,S
770,3,male,24.0,0,0,9.5,S
771,3,male,48.0,0,0,7.8542,S
772,2,female,57.0,0,0,10.5,S
773,3,male,,0,0,7.225,C
774,2,female,54.0,1,3,23.0,S
775,3,male,18.0,0,0,7.75,S
776,3,male,,0,0,7.75,Q
777,3,female,5.0,0,0,12.475,S
778,3,male,,0,0,7.7375,Q
779,1,female,43.0,0,1,211.3375,S
780,3,female,13.0,0,0,7.2292,C
781,1,female,17.0,1,0,57.0,S
782,1,male,29.0,0,0,30.0,S
783,3,male,,1,2,23.45,S
784,3,male,25.0,0,0,7.05,S
785,3,male,25.0,0,0,7.25,S
786,3,female,18.0,0,0,7.4958,S
787,3,male,8.0,4,1,29.125,Q
788,3,male,1.0,1,2,20.575,S
789,1,male,46.0,0,0,79.2,C
790,3,male,,0,0,7.75,Q
791,2,male,16.0,0,0,26.0,S
792,3,female,,8,2,69.55,S
793,1,male,,0,0,30.6958,C
794,3,male,25.0,0,0,7.8958,S
795,2,male,39.0,0,0,13.0,S
796,1,female,49.0,0,0,25.9292,S
797,3,female,31.0,0,0,8.6833,S
798,3,male,30.0,0,0,7.2292,C
799,3,female,30.0,1,1,24.15,S
800,2,male,34.0,0,0,13.0,S
801,2,female,31.0,1,1,26.25,S
802,1,male,11.0,1,2,120.0,S
803,3,male,0.42,0,1,8.5167,C
804,3,male,27.0,0,0,6.975,S
805,3,male,31.0,0,0,7.775,S
806,1,male,39.0,0,0,0.0,S
807,3,female,18.0,0,0,7.775,S
808,2,male,39.0,0,0,13.0,S
809,1,female,33.0,1,0,53.1,S
810,3,male,26.0,0,0,7.8875,S
811,3,male,39.0,0,0,24.15,S
812,2,male,35.0,0,0,10.5,S
813,3,female,6.0,4,2,31.275,S
814,3,male,30.5,0,0,8.05,S
815,1,male,,0,0,0.0,S
816,3,female,23.0,0,0,7.925,S
817,2,male,31.0,1,1,37.0042,C
818,3,male,43.0,0,0,6.45,S
819,3,male,10.0,3,2,27.9,S
820,1,female,52.0,1,1,93.5,S
821,3,male,27.0,0,0,8.6625,S
822,1,male,38.0,0,0,0.0,S
823,3,female,27.0,0,1,12.475,S
824,3,male,2.0,4,1,39.6875,S
825,3,male,,0,0,6.95,Q
826,3,male,,0,0,56.4958,S
827,2,male,1.0,0,2,37.0042,C
828,3,male,,0,0,7.75,Q
829,1,female,62.0,0,0,80.0,
830,3,female,15.0,1,0,14.4542,C
831,2,male,0.83,1,1,18.75,S
832,3,male,,0,0,7.2292,C
833,3,male,23.0,0,0,7.8542,S
834,3,male,18.0,0,0,8.3,S
835,1,female,39.0,1,1,83.1583,C
836,3,male,21.0,0,0,8.6625,S
837,3,male,,0,0,8.05,S
838,3,male,32.0,0,0,56.4958,S
839,1,male,,0,0,29.7,C
840,3,male,20.0,0,0,7.925,S
841,2,male,16.0,0,0,10.5,S
842,1,female,30.0,0,0,31.0,C
843,3,male,34.5,0,0,6.4375,C
844,3,male,17.0,0,0,8.6625,S
845,3,male,42.0,0,0,7.55,S
846,3,male,,8,2,69.55,S
847,3,male,35.0,0,0,7.8958,C
848,2,male,28.0,0,1,33.0,S
849,1,female,,1,0,89.1042,C
850,3,male,4.0,4,2,31.275,S
851,3,male,74.0,0,0,7.775,S
852,3,female,9.0,1,1,15.2458,C
853,1,female,16.0,0,1,39.4,S
854,2,female,44.0,1,0,26.0,S
855,3,female,18.0,0,1,9.35,S
856,1,female,45.0,1,1,164.8667,S
857,1,male,51.0,0,0,26.55,S
858,3,female,24.0,0,3,19.2583,C
859,3,male,,0,0,7.2292,C
860,3,male,41.0,2,0,14.1083,S
861,2,male,21.0,1,0,11.5,S
862,1,female,48.0,0,0,25.9292,S
863,3,female,,8,2,69.55,S
864,2,male,24.0,0,0,13.0,S
865,2,female,42.0,0,0,13.0,S
866,2,female,27.0,1,0,13.8583,C
867,1,male,31.0,0,0,50.4958,S
868,3,male,,0,0,9.5,S
869,3,male,4.0,1,1,11.1333,S
870,3,male,26.0,0,0,7.8958,S
871,1,female,47.0,1,1,52.5542,S
872,1,male,33.0,0,0,5.0,S
873,3,male,47.0,0,0,9.0,S
874,2,female,28.0,1,0,24.0,C
875,3,female,15.0,0,0,7.225,C
876,3,male,20.0,0,0,9.8458,S
877,3,male,19.0,0,0,7.8958,S
878,3,male,,0,0,7.8958,S
879,1,female,56.0,0,1,83.1583,C
880,2,female,25.0,0,1,26.0,S
881,3,male,33.0,0,0,7.8958,S
882,3,female,22.0,0,0,10.5167,S
883,2,male,28.0,0,0,10.5,S
884,3,male,25.0,0,0,7.05,S
885,3,female,39.0,0,5,29.125,Q
886,2,male,27.0,0,0,13.0,S
887,1,female,19.0,0,0,30.0,S
888,3,female,,1,2,23.45,S
889,1,male,26.0,0,0,30.0,C
890,3,male,32.0,0,0,7.75,Q
