,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2346,7.0,,No,8.0,4.0,42.0
2347,,45.0,No,4.0,4.0,34.0
2348,8.0,69.0,No,7.0,1.0,63.0
2349,8.0,54.0,Yes,9.0,6.0,50.0
2350,6.0,90.0,No,5.0,4.0,75.0
2351,3.0,92.0,No,9.0,7.0,74.0
2352,3.0,54.0,No,8.0,4.0,39.0
2353,1.0,89.0,No,7.0,8.0,63.0
2354,7.0,46.0,No,7.0,4.0,36.0
2355,5.0,97.0,No,4.0,2.0,84.0
2356,4.0,50.0,No,5.0,1.0,30.0
2357,4.0,79.0,No,4.0,4.0,60.0
2358,4.0,77.0,Yes,7.0,9.0,61.0
2359,6.0,,,7.0,9.0,70.0
2360,8.0,41.0,Yes,4.0,4.0,32.0
2361,8.0,90.0,No,7.0,5.0,87.0
2362,5.0,87.0,Yes,6.0,1.0,72.0
2363,6.0,78.0,Yes,8.0,4.0,68.0
2364,4.0,49.0,Yes,5.0,0.0,29.0
2365,9.0,83.0,Yes,8.0,2.0,78.0
2366,8.0,56.0,Yes,5.0,2.0,
2367,1.0,46.0,No,7.0,2.0,20.0
2368,2.0,93.0,Yes,4.0,2.0,66.0
2369,9.0,79.0,No,4.0,7.0,
2370,8.0,78.0,No,7.0,0.0,72.0
2371,3.0,43.0,Yes,5.0,5.0,26.0
2372,8.0,74.0,No,7.0,5.0,67.0
2373,1.0,90.0,Yes,5.0,0.0,67.0
2374,4.0,86.0,No,7.0,,68.0
2375,3.0,75.0,No,7.0,2.0,56.0
2376,6.0,70.0,Yes,7.0,7.0,61.0
2377,7.0,64.0,No,4.0,5.0,50.0
2378,4.0,80.0,No,5.0,3.0,68.0
2379,7.0,52.0,No,9.0,4.0,47.0
2380,9.0,57.0,No,7.0,9.0,56.0
2381,2.0,60.0,No,8.0,,40.0
2382,3.0,87.0,No,8.0,5.0,68.0
2383,5.0,40.0,No,4.0,5.0,26.0
2384,3.0,75.0,No,6.0,5.0,55.0
2385,8.0,89.0,Yes,9.0,8.0,84.0
2386,8.0,47.0,,4.0,9.0,40.0
2387,8.0,91.0,Yes,6.0,7.0,85.0
2388,9.0,87.0,,4.0,5.0,85.0
2389,4.0,60.0,No,,1.0,40.0
2390,5.0,82.0,No,,3.0,68.0
2391,5.0,91.0,Yes,5.0,5.0,74.0
2392,8.0,92.0,Yes,7.0,8.0,90.0
2393,7.0,92.0,Yes,8.0,1.0,82.0
2394,9.0,60.0,No,5.0,5.0,57.0
2395,8.0,66.0,No,6.0,9.0,61.0
2396,2.0,58.0,No,6.0,9.0,38.0
2397,4.0,62.0,Yes,8.0,9.0,46.0
2398,6.0,90.0,No,5.0,6.0,80.0
2399,2.0,89.0,No,7.0,7.0,67.0
2400,7.0,90.0,No,8.0,8.0,84.0
2401,3.0,82.0,No,6.0,4.0,58.0
2402,3.0,74.0,Yes,8.0,8.0,55.0
2403,,79.0,No,7.0,8.0,57.0
2404,8.0,91.0,No,4.0,6.0,87.0
2405,6.0,90.0,Yes,9.0,1.0,80.0
2406,1.0,81.0,No,9.0,7.0,54.0
2407,1.0,87.0,Yes,9.0,4.0,64.0
2408,7.0,44.0,Yes,4.0,,33.0
2409,8.0,91.0,No,7.0,1.0,83.0
2410,5.0,,Yes,5.0,6.0,66.0
2411,5.0,47.0,No,8.0,4.0,33.0
2412,4.0,50.0,Yes,7.0,3.0,31.0
2413,6.0,,Yes,4.0,9.0,40.0
2414,6.0,78.0,No,6.0,5.0,66.0
2415,3.0,86.0,Yes,9.0,4.0,67.0
2416,,63.0,No,9.0,5.0,64.0
2417,7.0,60.0,No,7.0,8.0,52.0
2418,,,No,9.0,0.0,68.0
2419,7.0,62.0,No,9.0,0.0,58.0
2420,5.0,88.0,Yes,7.0,5.0,72.0
2421,5.0,77.0,No,7.0,1.0,65.0
2422,2.0,86.0,Yes,4.0,7.0,65.0
2423,4.0,47.0,No,4.0,6.0,24.0
2424,6.0,46.0,Yes,9.0,5.0,35.0
2425,7.0,41.0,Yes,7.0,3.0,
2426,5.0,69.0,Yes,7.0,8.0,57.0
2427,9.0,52.0,Yes,9.0,6.0,54.0
2428,3.0,62.0,No,5.0,6.0,42.0
2429,1.0,68.0,No,6.0,4.0,39.0
2430,4.0,77.0,Yes,8.0,,62.0
2431,9.0,76.0,Yes,8.0,1.0,71.0
2432,4.0,59.0,No,9.0,7.0,42.0
2433,2.0,72.0,Yes,8.0,4.0,52.0
2434,5.0,68.0,Yes,4.0,1.0,54.0
2435,3.0,89.0,No,4.0,4.0,68.0
2436,9.0,54.0,Yes,5.0,7.0,50.0
2437,4.0,62.0,Yes,9.0,3.0,46.0
2438,6.0,81.0,No,4.0,2.0,68.0
2439,2.0,42.0,Yes,9.0,4.0,19.0
2440,6.0,76.0,No,9.0,6.0,68.0
2441,3.0,95.0,No,7.0,1.0,74.0
2442,9.0,,No,6.0,0.0,63.0
2443,2.0,84.0,No,6.0,4.0,60.0
2444,9.0,47.0,Yes,9.0,6.0,47.0
2445,5.0,61.0,No,6.0,7.0,47.0
2446,8.0,92.0,No,6.0,7.0,87.0
2447,2.0,68.0,Yes,8.0,9.0,45.0
2448,6.0,41.0,No,8.0,8.0,31.0
2449,3.0,,Yes,7.0,0.0,61.0
2450,,88.0,No,5.0,6.0,73.0
2451,8.0,98.0,No,4.0,9.0,92.0
2452,1.0,89.0,No,4.0,7.0,
2453,5.0,84.0,No,8.0,5.0,69.0
2454,3.0,40.0,Yes,9.0,9.0,20.0
2455,4.0,83.0,Yes,6.0,3.0,66.0
2456,2.0,59.0,Yes,7.0,6.0,38.0
2457,9.0,,No,5.0,2.0,81.0
2458,3.0,60.0,No,8.0,1.0,39.0
2459,,76.0,No,9.0,5.0,53.0
2460,9.0,47.0,Yes,7.0,1.0,44.0
2461,7.0,66.0,No,9.0,5.0,58.0
2462,,86.0,Yes,7.0,9.0,79.0
2463,1.0,98.0,Yes,8.0,2.0,75.0
2464,5.0,74.0,Yes,7.0,1.0,59.0
2465,3.0,45.0,No,6.0,7.0,23.0
2466,1.0,99.0,No,7.0,3.0,74.0
2467,4.0,84.0,No,5.0,3.0,65.0
2468,2.0,83.0,No,7.0,6.0,60.0
2469,2.0,,Yes,4.0,7.0,32.0
2470,3.0,57.0,Yes,7.0,8.0,38.0
2471,8.0,95.0,No,9.0,9.0,91.0
2472,8.0,40.0,No,8.0,7.0,34.0
2473,7.0,64.0,No,4.0,3.0,46.0
2474,6.0,66.0,Yes,,1.0,55.0
2475,9.0,,No,9.0,9.0,43.0
2476,4.0,83.0,Yes,5.0,4.0,67.0
2477,1.0,81.0,Yes,,6.0,56.0
2478,8.0,68.0,Yes,5.0,1.0,58.0
2479,7.0,70.0,Yes,4.0,3.0,
2480,7.0,83.0,Yes,9.0,5.0,77.0
2481,3.0,82.0,Yes,9.0,7.0,69.0
2482,4.0,75.0,Yes,6.0,9.0,60.0
2483,9.0,58.0,No,7.0,5.0,52.0
2484,6.0,45.0,No,4.0,5.0,36.0
2485,5.0,64.0,No,6.0,5.0,49.0
2486,3.0,70.0,,8.0,3.0,50.0
2487,9.0,,Yes,6.0,2.0,48.0
2488,5.0,59.0,No,8.0,0.0,43.0
2489,5.0,49.0,Yes,8.0,1.0,34.0
2490,4.0,76.0,Yes,9.0,1.0,57.0
2491,4.0,66.0,Yes,6.0,9.0,50.0
2492,1.0,52.0,Yes,,6.0,28.0
2493,7.0,80.0,Yes,9.0,5.0,72.0
2494,,41.0,Yes,5.0,7.0,38.0
2495,3.0,89.0,Yes,5.0,8.0,68.0
2496,2.0,60.0,Yes,9.0,4.0,41.0
2497,3.0,72.0,Yes,9.0,2.0,53.0
2498,,63.0,Yes,8.0,3.0,36.0
2499,6.0,92.0,Yes,9.0,7.0,80.0
2500,7.0,,Yes,4.0,2.0,73.0
2501,2.0,81.0,No,6.0,1.0,59.0
2502,,73.0,Yes,4.0,6.0,67.0
2503,6.0,,Yes,5.0,3.0,91.0
2504,,48.0,No,4.0,7.0,34.0
2505,5.0,41.0,No,,0.0,23.0
2506,8.0,94.0,No,7.0,7.0,86.0
2507,3.0,95.0,Yes,5.0,4.0,73.0
2508,3.0,69.0,Yes,4.0,1.0,49.0
2509,,61.0,No,6.0,0.0,43.0
2510,1.0,85.0,No,,5.0,61.0
2511,9.0,50.0,No,7.0,8.0,45.0
2512,8.0,94.0,Yes,5.0,8.0,85.0
2513,8.0,82.0,Yes,4.0,8.0,75.0
2514,6.0,56.0,No,4.0,3.0,44.0
2515,7.0,,Yes,4.0,5.0,66.0
2516,6.0,52.0,Yes,8.0,9.0,45.0
2517,9.0,46.0,No,4.0,,40.0
2518,3.0,55.0,No,,4.0,38.0
2519,3.0,72.0,No,7.0,1.0,50.0
2520,3.0,84.0,,7.0,6.0,67.0
2521,3.0,40.0,Yes,,0.0,21.0
2522,9.0,,Yes,7.0,5.0,51.0
2523,4.0,45.0,Yes,,4.0,25.0
2524,7.0,59.0,Yes,5.0,4.0,53.0
2525,9.0,74.0,No,4.0,7.0,71.0
2526,7.0,,Yes,9.0,8.0,77.0
2527,9.0,76.0,Yes,9.0,6.0,
2528,3.0,80.0,No,,9.0,60.0
2529,,,No,,7.0,49.0
2530,8.0,97.0,No,5.0,1.0,87.0
2531,,51.0,No,9.0,1.0,40.0
2532,5.0,,Yes,7.0,7.0,56.0
2533,4.0,67.0,Yes,6.0,5.0,49.0
2534,8.0,66.0,No,4.0,7.0,59.0
2535,1.0,81.0,Yes,6.0,8.0,59.0
2536,9.0,58.0,No,7.0,8.0,54.0
2537,1.0,44.0,Yes,8.0,5.0,17.0
2538,8.0,97.0,Yes,5.0,,90.0
2539,4.0,44.0,Yes,9.0,1.0,23.0
2540,9.0,80.0,No,9.0,7.0,82.0
2541,5.0,66.0,No,7.0,2.0,49.0
2542,3.0,67.0,Yes,9.0,0.0,50.0
2543,9.0,65.0,Yes,7.0,6.0,60.0
2544,9.0,66.0,No,6.0,0.0,60.0
2545,4.0,91.0,No,8.0,0.0,74.0
2546,4.0,88.0,Yes,5.0,0.0,71.0
2547,8.0,81.0,Yes,9.0,3.0,77.0
2548,2.0,60.0,No,8.0,3.0,34.0
2549,9.0,40.0,,8.0,9.0,39.0
2550,6.0,93.0,No,8.0,5.0,85.0
2551,9.0,67.0,No,4.0,9.0,64.0
2552,8.0,87.0,Yes,8.0,2.0,87.0
2553,7.0,97.0,Yes,7.0,9.0,91.0
2554,1.0,97.0,Yes,4.0,5.0,73.0
2555,3.0,,No,4.0,6.0,34.0
2556,2.0,94.0,No,8.0,0.0,70.0
2557,5.0,56.0,No,9.0,5.0,42.0
2558,5.0,65.0,Yes,9.0,9.0,55.0
2559,5.0,59.0,Yes,9.0,0.0,45.0
2560,4.0,64.0,No,9.0,6.0,49.0
2561,5.0,52.0,No,7.0,9.0,37.0
2562,3.0,72.0,Yes,9.0,4.0,55.0
2563,,64.0,No,5.0,9.0,38.0
2564,5.0,47.0,Yes,8.0,,35.0
2565,9.0,,Yes,4.0,0.0,41.0
2566,9.0,45.0,No,5.0,8.0,43.0
2567,4.0,62.0,No,9.0,6.0,46.0
2568,3.0,91.0,No,5.0,1.0,69.0
2569,1.0,69.0,No,4.0,3.0,37.0
2570,2.0,,No,9.0,3.0,31.0
2571,8.0,93.0,Yes,,,90.0
2572,1.0,62.0,No,7.0,1.0,33.0
2573,8.0,50.0,Yes,7.0,4.0,44.0
2574,7.0,70.0,No,8.0,,62.0
2575,8.0,45.0,No,8.0,7.0,41.0
2576,6.0,50.0,No,5.0,5.0,38.0
2577,9.0,52.0,No,4.0,3.0,45.0
2578,3.0,51.0,No,7.0,4.0,34.0
2579,4.0,93.0,No,6.0,1.0,72.0
2580,6.0,41.0,Yes,8.0,4.0,29.0
2581,8.0,92.0,No,7.0,2.0,83.0
2582,5.0,74.0,No,9.0,2.0,
2583,3.0,94.0,No,5.0,6.0,75.0
2584,6.0,75.0,No,7.0,2.0,63.0
2585,4.0,,Yes,7.0,3.0,36.0
2586,9.0,67.0,Yes,5.0,6.0,
2587,3.0,67.0,Yes,8.0,2.0,49.0
2588,4.0,61.0,Yes,,9.0,46.0
2589,7.0,77.0,Yes,6.0,9.0,69.0
2590,7.0,46.0,Yes,,1.0,35.0
2591,4.0,54.0,No,8.0,9.0,38.0
2592,6.0,71.0,No,8.0,6.0,62.0
2593,3.0,50.0,Yes,8.0,4.0,30.0
2594,6.0,63.0,No,8.0,0.0,52.0
2595,2.0,42.0,No,7.0,9.0,16.0
2596,8.0,69.0,No,6.0,7.0,66.0
2597,,45.0,No,5.0,2.0,20.0
2598,7.0,97.0,No,4.0,6.0,86.0
2599,9.0,41.0,Yes,5.0,5.0,38.0
2600,1.0,53.0,Yes,9.0,9.0,30.0
2601,8.0,80.0,Yes,4.0,5.0,71.0
2602,7.0,57.0,Yes,7.0,7.0,49.0
2603,6.0,90.0,Yes,9.0,3.0,79.0
2604,6.0,83.0,,,3.0,
2605,6.0,70.0,No,4.0,2.0,56.0
2606,9.0,,Yes,8.0,0.0,47.0
2607,2.0,65.0,,9.0,9.0,41.0
2608,1.0,83.0,No,7.0,2.0,58.0
2609,6.0,51.0,Yes,4.0,0.0,38.0
2610,8.0,57.0,Yes,8.0,5.0,52.0
2611,,48.0,Yes,9.0,7.0,25.0
2612,1.0,88.0,No,7.0,2.0,62.0
2613,9.0,60.0,Yes,9.0,3.0,60.0
2614,,87.0,Yes,4.0,4.0,63.0
2615,3.0,88.0,Yes,8.0,6.0,72.0
2616,8.0,92.0,No,6.0,5.0,84.0
2617,3.0,95.0,Yes,7.0,1.0,74.0
2618,4.0,79.0,Yes,4.0,6.0,61.0
2619,8.0,82.0,No,8.0,7.0,77.0
2620,1.0,63.0,No,6.0,0.0,36.0
2621,6.0,73.0,,9.0,5.0,65.0
2622,1.0,47.0,Yes,8.0,8.0,23.0
2623,1.0,83.0,Yes,6.0,6.0,60.0
2624,,92.0,No,4.0,4.0,83.0
2625,4.0,72.0,Yes,8.0,9.0,56.0
2626,1.0,62.0,No,,9.0,37.0
2627,7.0,52.0,No,5.0,8.0,43.0
2628,,93.0,No,7.0,1.0,76.0
2629,5.0,92.0,,8.0,6.0,83.0
2630,1.0,88.0,No,,8.0,
2631,6.0,53.0,Yes,7.0,1.0,39.0
2632,9.0,53.0,Yes,4.0,,48.0
2633,9.0,55.0,Yes,7.0,5.0,53.0
2634,8.0,88.0,Yes,5.0,8.0,84.0
2635,5.0,77.0,No,4.0,2.0,
2636,1.0,97.0,,8.0,7.0,73.0
2637,9.0,99.0,No,9.0,4.0,99.0
2638,1.0,78.0,No,4.0,6.0,52.0
2639,8.0,,Yes,4.0,2.0,58.0
2640,5.0,65.0,Yes,5.0,7.0,50.0
2641,3.0,40.0,No,6.0,1.0,18.0
2642,7.0,71.0,Yes,4.0,7.0,62.0
2643,7.0,96.0,Yes,6.0,1.0,87.0
2644,9.0,54.0,Yes,7.0,6.0,53.0
2645,7.0,91.0,Yes,9.0,1.0,87.0
2646,3.0,60.0,No,5.0,6.0,37.0
2647,1.0,57.0,No,8.0,0.0,31.0
2648,8.0,69.0,Yes,4.0,5.0,63.0
2649,3.0,99.0,No,9.0,9.0,81.0
2650,8.0,97.0,No,,6.0,95.0
2651,8.0,52.0,Yes,6.0,3.0,
2652,5.0,63.0,Yes,4.0,0.0,48.0
2653,1.0,69.0,No,9.0,5.0,47.0
2654,,41.0,No,5.0,3.0,31.0
2655,5.0,,No,8.0,,43.0
2656,8.0,86.0,Yes,7.0,3.0,82.0
2657,9.0,83.0,No,7.0,5.0,80.0
2658,7.0,86.0,No,6.0,4.0,76.0
2659,7.0,64.0,Yes,9.0,1.0,57.0
2660,1.0,,No,7.0,1.0,64.0
2661,4.0,53.0,Yes,6.0,2.0,35.0
2662,2.0,45.0,Yes,8.0,5.0,24.0
2663,2.0,51.0,No,4.0,0.0,30.0
2664,2.0,59.0,Yes,5.0,6.0,38.0
2665,4.0,62.0,Yes,8.0,7.0,45.0
2666,1.0,69.0,No,8.0,6.0,44.0
2667,4.0,69.0,Yes,7.0,2.0,53.0
2668,2.0,77.0,No,7.0,5.0,53.0
2669,5.0,97.0,Yes,5.0,3.0,84.0
2670,3.0,69.0,Yes,4.0,4.0,47.0
2671,8.0,80.0,,8.0,,76.0
2672,4.0,69.0,No,9.0,4.0,57.0
2673,1.0,96.0,No,7.0,5.0,
2674,1.0,97.0,Yes,8.0,7.0,74.0
2675,3.0,75.0,No,4.0,5.0,54.0
2676,9.0,88.0,Yes,6.0,,84.0
2677,7.0,73.0,No,4.0,9.0,62.0
2678,2.0,55.0,,8.0,9.0,35.0
2679,9.0,63.0,No,8.0,9.0,62.0
2680,2.0,53.0,,5.0,9.0,30.0
2681,3.0,65.0,No,8.0,3.0,47.0
2682,2.0,,Yes,7.0,,25.0
2683,3.0,53.0,Yes,9.0,8.0,40.0
2684,6.0,70.0,Yes,5.0,2.0,56.0
2685,9.0,,Yes,8.0,6.0,38.0
2686,9.0,87.0,No,4.0,3.0,86.0
2687,7.0,43.0,Yes,8.0,0.0,38.0
2688,3.0,40.0,No,4.0,7.0,17.0
2689,4.0,94.0,Yes,4.0,3.0,75.0
2690,6.0,59.0,No,8.0,5.0,48.0
2691,5.0,98.0,Yes,4.0,6.0,87.0
2692,2.0,53.0,Yes,9.0,7.0,32.0
2693,6.0,79.0,No,6.0,,68.0
2694,3.0,64.0,No,5.0,1.0,42.0
2695,8.0,99.0,Yes,8.0,8.0,96.0
2696,2.0,64.0,No,6.0,9.0,42.0
2697,1.0,42.0,No,4.0,2.0,18.0
2698,9.0,44.0,No,4.0,0.0,41.0
2699,3.0,77.0,Yes,5.0,1.0,54.0
2700,1.0,93.0,No,6.0,7.0,67.0
2701,7.0,65.0,Yes,6.0,9.0,57.0
2702,5.0,79.0,No,8.0,5.0,65.0
2703,5.0,,No,4.0,,62.0
2704,1.0,77.0,Yes,7.0,8.0,56.0
2705,9.0,43.0,No,8.0,6.0,39.0
2706,7.0,46.0,No,8.0,9.0,38.0
2707,8.0,69.0,No,8.0,2.0,65.0
2708,9.0,69.0,No,5.0,6.0,68.0
2709,6.0,95.0,No,5.0,5.0,82.0
2710,5.0,58.0,No,8.0,2.0,44.0
2711,6.0,78.0,No,9.0,7.0,67.0
2712,2.0,74.0,,7.0,0.0,
2713,4.0,79.0,Yes,6.0,,61.0
2714,3.0,72.0,Yes,6.0,7.0,53.0
2715,7.0,72.0,Yes,4.0,2.0,61.0
2716,9.0,53.0,Yes,6.0,9.0,49.0
2717,5.0,77.0,No,6.0,5.0,61.0
2718,6.0,49.0,Yes,7.0,9.0,38.0
2719,2.0,96.0,Yes,6.0,1.0,76.0
2720,3.0,67.0,No,7.0,8.0,47.0
2721,,,Yes,,1.0,32.0
2722,9.0,75.0,No,7.0,4.0,71.0
2723,7.0,77.0,No,5.0,2.0,
2724,,55.0,Yes,7.0,9.0,53.0
2725,9.0,,Yes,8.0,8.0,100.0
2726,6.0,60.0,No,9.0,8.0,49.0
2727,,67.0,No,5.0,6.0,48.0
2728,1.0,72.0,Yes,5.0,9.0,45.0
2729,8.0,45.0,No,6.0,4.0,40.0
2730,7.0,80.0,Yes,5.0,8.0,71.0
2731,2.0,54.0,Yes,7.0,,34.0
2732,8.0,83.0,Yes,8.0,1.0,76.0
2733,5.0,42.0,Yes,8.0,9.0,29.0
2734,7.0,82.0,No,6.0,0.0,71.0
2735,4.0,86.0,No,,9.0,69.0
2736,5.0,74.0,Yes,7.0,9.0,58.0
2737,8.0,53.0,Yes,4.0,3.0,43.0
2738,1.0,41.0,No,5.0,9.0,17.0
2739,1.0,68.0,No,6.0,7.0,
2740,4.0,43.0,No,8.0,,27.0
2741,3.0,65.0,No,9.0,1.0,45.0
2742,2.0,90.0,No,4.0,4.0,65.0
2743,3.0,51.0,Yes,,8.0,31.0
2744,1.0,,Yes,5.0,5.0,14.0
2745,1.0,56.0,Yes,,5.0,33.0
2746,,74.0,Yes,,6.0,60.0
2747,5.0,49.0,No,7.0,4.0,34.0
2748,8.0,87.0,No,8.0,2.0,82.0
2749,2.0,61.0,Yes,8.0,2.0,40.0
2750,4.0,80.0,Yes,7.0,4.0,66.0
2751,8.0,82.0,No,7.0,3.0,76.0
2752,6.0,60.0,Yes,6.0,4.0,46.0
2753,1.0,54.0,Yes,8.0,8.0,31.0
2754,4.0,74.0,No,7.0,4.0,57.0
2755,,87.0,No,9.0,3.0,65.0
2756,2.0,60.0,No,9.0,3.0,38.0
2757,,60.0,Yes,4.0,0.0,46.0
2758,8.0,60.0,No,5.0,9.0,53.0
2759,8.0,99.0,No,9.0,3.0,97.0
2760,3.0,83.0,Yes,6.0,,63.0
2761,4.0,71.0,No,7.0,8.0,55.0
2762,6.0,94.0,Yes,5.0,3.0,79.0
2763,3.0,44.0,Yes,,6.0,26.0
2764,,78.0,Yes,8.0,0.0,55.0
2765,6.0,48.0,Yes,5.0,6.0,37.0
2766,5.0,92.0,No,9.0,1.0,78.0
2767,5.0,57.0,Yes,6.0,7.0,45.0
2768,5.0,60.0,,7.0,0.0,45.0
2769,5.0,,No,7.0,9.0,34.0
2770,3.0,83.0,No,6.0,2.0,66.0
2771,7.0,91.0,No,8.0,,79.0
2772,6.0,73.0,No,9.0,9.0,63.0
2773,4.0,49.0,,6.0,7.0,32.0
2774,2.0,90.0,No,4.0,4.0,64.0
2775,9.0,80.0,Yes,6.0,4.0,78.0
2776,1.0,,Yes,6.0,7.0,69.0
2777,4.0,63.0,Yes,9.0,9.0,46.0
2778,1.0,79.0,No,7.0,4.0,54.0
2779,6.0,63.0,No,8.0,8.0,
2780,4.0,95.0,,6.0,0.0,78.0
2781,5.0,71.0,No,5.0,4.0,54.0
2782,5.0,95.0,Yes,,2.0,80.0
2783,9.0,72.0,No,7.0,2.0,67.0
2784,1.0,77.0,No,6.0,1.0,48.0
2785,2.0,83.0,Yes,9.0,,61.0
2786,6.0,96.0,Yes,5.0,6.0,83.0
2787,5.0,95.0,Yes,6.0,7.0,82.0
2788,7.0,90.0,Yes,5.0,7.0,78.0
2789,3.0,98.0,Yes,7.0,7.0,78.0
2790,3.0,88.0,Yes,5.0,0.0,70.0
2791,2.0,73.0,,6.0,6.0,48.0
2792,3.0,50.0,No,4.0,1.0,26.0
2793,1.0,,No,4.0,9.0,46.0
2794,5.0,57.0,Yes,5.0,3.0,42.0
2795,5.0,62.0,,9.0,4.0,46.0
2796,7.0,99.0,No,6.0,0.0,91.0
2797,4.0,61.0,Yes,8.0,3.0,47.0
2798,3.0,82.0,Yes,4.0,3.0,61.0
2799,1.0,57.0,Yes,7.0,8.0,31.0
2800,8.0,79.0,Yes,6.0,8.0,71.0
2801,3.0,86.0,Yes,6.0,9.0,66.0
2802,2.0,80.0,No,4.0,0.0,52.0
2803,4.0,86.0,Yes,8.0,7.0,71.0
2804,3.0,78.0,Yes,7.0,3.0,60.0
2805,1.0,59.0,Yes,,3.0,32.0
2806,3.0,52.0,No,7.0,,33.0
2807,2.0,84.0,No,4.0,,56.0
2808,8.0,40.0,Yes,6.0,0.0,32.0
2809,6.0,91.0,Yes,7.0,4.0,76.0
2810,9.0,43.0,Yes,6.0,6.0,40.0
2811,8.0,63.0,Yes,5.0,9.0,60.0
2812,3.0,75.0,No,5.0,8.0,54.0
2813,5.0,75.0,No,4.0,1.0,59.0
2814,7.0,84.0,Yes,4.0,7.0,74.0
2815,5.0,41.0,Yes,9.0,6.0,29.0
2816,8.0,67.0,No,4.0,1.0,61.0
2817,5.0,65.0,No,,4.0,50.0
2818,1.0,62.0,Yes,7.0,6.0,36.0
2819,5.0,54.0,Yes,8.0,2.0,41.0
2820,4.0,75.0,Yes,4.0,1.0,60.0
2821,6.0,66.0,No,8.0,5.0,56.0
2822,3.0,45.0,No,8.0,9.0,23.0
2823,5.0,74.0,No,5.0,5.0,63.0
2824,2.0,78.0,No,9.0,3.0,54.0
2825,6.0,77.0,Yes,7.0,0.0,64.0
2826,6.0,,No,5.0,4.0,64.0
2827,5.0,75.0,No,4.0,0.0,58.0
2828,6.0,49.0,No,5.0,7.0,
2829,7.0,69.0,Yes,5.0,1.0,60.0
2830,5.0,92.0,No,5.0,8.0,79.0
2831,1.0,80.0,No,4.0,8.0,57.0
2832,8.0,77.0,No,4.0,2.0,69.0
2833,4.0,68.0,Yes,5.0,5.0,51.0
2834,9.0,91.0,No,5.0,8.0,86.0
2835,6.0,98.0,Yes,8.0,6.0,90.0
2836,1.0,82.0,Yes,7.0,3.0,57.0
2837,3.0,78.0,No,8.0,2.0,61.0
2838,3.0,89.0,,9.0,1.0,71.0
2839,4.0,43.0,No,7.0,9.0,30.0
2840,6.0,44.0,Yes,9.0,9.0,34.0
2841,7.0,43.0,Yes,,0.0,34.0
2842,,75.0,No,5.0,9.0,58.0
2843,6.0,98.0,No,8.0,0.0,85.0
2844,1.0,84.0,Yes,7.0,3.0,55.0
2845,8.0,55.0,Yes,9.0,3.0,51.0
2846,7.0,64.0,Yes,7.0,8.0,53.0
2847,9.0,53.0,,4.0,,51.0
2848,3.0,50.0,No,7.0,0.0,31.0
2849,2.0,68.0,Yes,5.0,3.0,44.0
2850,1.0,73.0,Yes,6.0,2.0,48.0
2851,3.0,61.0,No,4.0,8.0,41.0
2852,5.0,53.0,Yes,6.0,4.0,40.0
2853,2.0,95.0,No,5.0,8.0,72.0
2854,3.0,63.0,No,6.0,9.0,41.0
2855,4.0,98.0,No,7.0,5.0,78.0
2856,7.0,78.0,Yes,6.0,8.0,70.0
2857,3.0,65.0,No,8.0,0.0,41.0
2858,9.0,82.0,No,5.0,3.0,78.0
2859,8.0,75.0,No,8.0,3.0,70.0
2860,4.0,78.0,Yes,6.0,9.0,61.0
2861,,55.0,Yes,8.0,9.0,33.0
2862,1.0,97.0,Yes,4.0,5.0,71.0
2863,1.0,77.0,Yes,6.0,9.0,51.0
2864,1.0,98.0,No,9.0,0.0,72.0
2865,8.0,71.0,No,8.0,9.0,
2866,3.0,45.0,No,7.0,4.0,21.0
2867,6.0,73.0,Yes,6.0,2.0,61.0
2868,3.0,95.0,No,9.0,0.0,76.0
2869,,47.0,Yes,4.0,5.0,30.0
2870,7.0,69.0,,7.0,2.0,59.0
2871,2.0,66.0,Yes,6.0,3.0,45.0
2872,6.0,46.0,No,7.0,8.0,39.0
2873,6.0,66.0,No,6.0,1.0,53.0
2874,3.0,64.0,Yes,6.0,0.0,43.0
2875,6.0,,No,,9.0,85.0
2876,5.0,,Yes,8.0,5.0,70.0
2877,2.0,80.0,No,6.0,0.0,56.0
2878,9.0,54.0,Yes,,0.0,52.0
2879,8.0,64.0,,9.0,6.0,65.0
2880,3.0,61.0,,8.0,1.0,39.0
2881,8.0,57.0,No,5.0,3.0,48.0
2882,9.0,51.0,No,8.0,3.0,47.0
2883,3.0,62.0,No,8.0,1.0,41.0
2884,3.0,90.0,No,,5.0,72.0
2885,2.0,84.0,No,4.0,,61.0
2886,8.0,78.0,,6.0,1.0,74.0
2887,1.0,64.0,No,4.0,7.0,38.0
2888,8.0,49.0,Yes,4.0,3.0,42.0
2889,7.0,69.0,No,7.0,0.0,60.0
2890,7.0,49.0,No,6.0,6.0,35.0
2891,3.0,73.0,No,5.0,5.0,52.0
2892,1.0,85.0,Yes,9.0,5.0,
2893,,52.0,No,8.0,2.0,32.0
2894,,93.0,Yes,7.0,,95.0
2895,5.0,68.0,No,5.0,6.0,53.0
2896,,77.0,,9.0,5.0,54.0
2897,5.0,80.0,Yes,9.0,9.0,70.0
2898,8.0,,Yes,6.0,9.0,78.0
2899,8.0,48.0,Yes,4.0,8.0,42.0
2900,5.0,52.0,No,6.0,2.0,33.0
2901,9.0,76.0,No,9.0,2.0,75.0
