,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
870,2022-07-07,2.0,45000.0,710.0,8 out of 16,Carpet Area,Saki Vihar Road,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
871,2022-07-09,3.0,200000.0,1350.0,1 out of 5,Carpet Area,Anand niwas,Mumbai,Furnished,Bachelors,3.0,Contact Agent
872,2022-06-23,2.0,20000.0,400.0,,Carpet Area,Pant Nagar,Mumbai,Furnished,Bachelors/Family,1.0,Contact Owner
873,2022-07-07,3.0,85000.0,1000.0,16 out of 25,Carpet Area,"DLH Orchid, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,4.0,Contact Agent
874,2022-07-06,3.0,130000.0,1500.0,7 out of 12,,Central Avenue Road,Mumbai,Unfurnished,Family,3.0,Contact Agent
875,2022-07-09,1.0,40000.0,500.0,3 out of 6,Super Area,"7 Bungalow, Seven Bungalows",Mumbai,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
876,2022-06-30,4.0,250000.0,2000.0,33 out of 42,Carpet Area,,Mumbai,Furnished,Bachelors,4.0,Contact Agent
877,2022-04-29,1.0,15000.0,225.0,Ground out of 4,Carpet Area,Shrikrupa Society,Mumbai,Unfurnished,Bachelors,1.0,Contact Owner
878,2022-05-13,2.0,40000.0,650.0,12 out of 19,Carpet Area,Mulund West,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
879,2022-07-06,2.0,48000.0,670.0,4 out of 16,Carpet Area,"Velentine Tower, Goregaon East",Mumbai,Semi-Furnished,Family,2.0,Contact Owner
880,2022-05-31,2.0,15000.0,610.0,Ground out of 6,Carpet Area,"RNA Broadway Avenue, Mira Road",Mumbai,Semi-Furnished,Bachelors,,Contact Owner
881,2022-07-01,1.0,28000.0,400.0,1 out of 5,Carpet Area,Chakala,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
882,2022-06-18,1.0,25000.0,340.0,13 out of 23,Carpet Area,"Mahalaxmi CHS, Worli",Mumbai,,Bachelors/Family,1.0,Contact Agent
883,2022-05-23,2.0,34000.0,471.0,9 out of 38,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors,2.0,Contact Agent
884,2022-06-03,,75000.0,550.0,6 out of 8,Carpet Area,Carter Road,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
885,2022-05-19,2.0,45000.0,630.0,,Carpet Area,"Crescent Solitaire, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,1.0,Contact Agent
886,2022-05-27,1.0,35000.0,500.0,1 out of 8,,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
887,2022-07-06,1.0,32000.0,400.0,3 out of 7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Furnished,Bachelors/Family,1.0,Contact Agent
888,2022-07-04,2.0,17000.0,1000.0,,,"holy complex ,Mira Road, Mumbai",Mumbai,,Bachelors/Family,,Contact Owner
889,2022-06-20,4.0,230000.0,1528.0,65 out of 76,Carpet Area,"Lodha Marquise, Worli",Mumbai,,Family,4.0,Contact Agent
890,2022-05-17,2.0,35000.0,650.0,5 out of 7,Carpet Area,"Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
891,2022-05-31,1.0,8500.0,500.0,6 out of 7,Carpet Area,Thane-Kalyan-Dombivli,Mumbai,Unfurnished,Bachelors,1.0,Contact Owner
892,2022-05-19,3.0,80000.0,850.0,,Carpet Area,"Oberoi Splendor, Agarkar Chowk",,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
893,2022-05-14,1.0,55000.0,550.0,,Carpet Area,"Paschim Apartments, Prabhadevi",Mumbai,Semi-Furnished,Bachelors,1.0,Contact Agent
894,,1.0,25000.0,430.0,7 out of 21,Carpet Area,"Godrej Tranquil, Kandivali East",,Unfurnished,,2.0,Contact Agent
895,,3.0,40000.0,1030.0,10 out of 14,Carpet Area,"Bhairav Residency, Mira Road",Mumbai,Furnished,Family,3.0,Contact Agent
896,2022-06-27,1.0,15500.0,250.0,11 out of 24,Carpet Area,"MHADA Century Mill, Prabhadevi",Mumbai,Unfurnished,Bachelors/Family,1.0,
897,2022-07-06,1.0,45000.0,,9 out of 16,Carpet Area,Mahim,Mumbai,Unfurnished,Bachelors,2.0,
898,2022-07-07,4.0,180000.0,1750.0,9 out of 31,,Andheri West,Mumbai,Semi-Furnished,Bachelors,4.0,Contact Agent
899,2022-07-06,2.0,51000.0,985.0,7 out of 15,Carpet Area,"Chembur Heights, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
900,2022-06-20,3.0,60000.0,,12 out of 13,Carpet Area,"Veena Signature, Borivali West",Mumbai,Unfurnished,Bachelors,3.0,Contact Agent
901,2022-05-23,2.0,36000.0,700.0,4 out of 15,Carpet Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
902,2022-06-24,3.0,180000.0,1200.0,10 out of 12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3.0,
903,2022-06-23,,,1000.0,6 out of 12,Carpet Area,Chembur,Mumbai,Furnished,Bachelors/Family,3.0,Contact Agent
904,,2.0,8000.0,550.0,3 out of 9,,"Nakoda Heights, Nalasopara",Mumbai,,Family,2.0,Contact Agent
905,2022-05-10,3.0,50000.0,,2 out of 4,Super Area,Wadala,Mumbai,,,2.0,
906,2022-07-09,3.0,100000.0,1400.0,22 out of 30,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",Mumbai,Furnished,Bachelors/Family,3.0,Contact Agent
907,2022-07-07,1.0,16500.0,470.0,11 out of 14,Carpet Area,"Kanungos Garden City, Mira Road East",Mumbai,Semi-Furnished,Family,2.0,
908,2022-05-31,1.0,,475.0,3 out of 4,Super Area,Nalasopara West,Mumbai,Unfurnished,Bachelors/Family,1.0,Contact Owner
909,2022-07-07,2.0,34000.0,583.0,10 out of 23,Carpet Area,"Oasis, Akurli Nagar",Mumbai,Unfurnished,Family,2.0,Contact Agent
910,2022-06-16,2.0,32000.0,475.0,8 out of 12,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2.0,Contact Agent
911,2022-05-12,2.0,,900.0,1 out of 8,Carpet Area,Yashodham,Mumbai,Furnished,Family,2.0,Contact Agent
912,2022-07-07,1.0,24000.0,500.0,3 out of 7,Carpet Area,Dattani Park,Mumbai,Semi-Furnished,Bachelors/Family,1.0,
913,2022-07-06,2.0,62000.0,806.0,3 out of 58,Carpet Area,"Auris Serenity, Malad West",Mumbai,,,3.0,Contact Agent
914,2022-07-07,1.0,100000.0,400.0,9 out of 10,,"Violette Valley, Bandra West",Mumbai,Furnished,Bachelors/Family,1.0,Contact Agent
915,2022-04-29,1.0,21000.0,650.0,6 out of 10,Super Area,Bhandup West,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
916,2022-04-29,,27000.0,550.0,4 out of 15,Super Area,"Raj Hill, Borivali East",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
917,2022-06-30,1.0,10000.0,390.0,3 out of 4,Carpet Area,Mira Road East,Mumbai,Unfurnished,Bachelors/Family,1.0,Contact Agent
918,,2.0,90000.0,994.0,2 out of 2,Carpet Area,"Ajmera Treon, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
919,2022-05-31,1.0,8000.0,520.0,6 out of 8,Super Area,Virar West,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
920,2022-06-15,1.0,75000.0,575.0,1 out of 9,Carpet Area,Malabar Hill,Mumbai,Semi-Furnished,Family,1.0,Contact Agent
921,2022-07-09,3.0,230000.0,2750.0,53 out of 60,Carpet Area,"Lodha World Crest, Lower Parel",Mumbai,Unfurnished,Bachelors/Family,3.0,Contact Agent
922,2022-06-13,1.0,15000.0,470.0,5 out of 22,Carpet Area,"Man Opus, Mira Road East",Mumbai,Semi-Furnished,Family,2.0,Contact Agent
923,2022-07-06,4.0,260000.0,2500.0,3 out of 7,Carpet Area,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,4.0,Contact Agent
924,2022-07-09,3.0,62000.0,1100.0,15 out of 22,Carpet Area,"Lake Homes, Powai",,Semi-Furnished,Family,3.0,Contact Agent
925,2022-06-27,1.0,43500.0,480.0,6 out of 7,Carpet Area,Yari Road,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
926,2022-05-27,2.0,62000.0,,12 out of 16,Carpet Area,"Cosmopolis Tower, Andheri West",Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
927,2022-05-27,4.0,400000.0,2424.0,,Carpet Area,"Rustomjee Elements, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,5.0,Contact Agent
928,2022-07-06,2.0,77500.0,,19 out of 21,Carpet Area,,Mumbai,Semi-Furnished,Bachelors,2.0,Contact Agent
929,2022-05-19,1.0,30000.0,600.0,5 out of 5,Carpet Area,Mulund Railway Station,Mumbai,Furnished,Bachelors/Family,,Contact Owner
930,2022-06-23,3.0,110000.0,1076.0,,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
931,2022-04-29,1.0,20000.0,800.0,3 out of 4,Super Area,in Byculla,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Owner
932,2022-07-06,3.0,150000.0,1300.0,6 out of 7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
933,2022-07-04,,55000.0,500.0,1 out of 7,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
934,2022-06-22,2.0,70000.0,700.0,Ground out of 8,Carpet Area,Santacruz West,Mumbai,Semi-Furnished,Bachelors,2.0,Contact Agent
935,2022-05-23,2.0,65000.0,700.0,4 out of 9,Carpet Area,Kamla Nagar,Mumbai,Furnished,Bachelors,2.0,Contact Agent
936,2022-07-09,3.0,310000.0,2170.0,44 out of 75,Carpet Area,"Omkar 1973, Worli",Mumbai,Semi-Furnished,Bachelors/Family,4.0,Contact Agent
937,2022-06-17,1.0,18000.0,225.0,18 out of 24,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,2.0,Contact Agent
938,2022-06-23,1.0,,485.0,8 out of 17,,"Kanakia Sevens, Andheri East",,Furnished,Bachelors/Family,2.0,Contact Agent
939,2022-04-29,1.0,10000.0,225.0,7 out of 8,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1.0,Contact Owner
940,2022-06-16,1.0,32000.0,478.0,,Carpet Area,"Blue Monarch, Marol",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
941,2022-05-10,3.0,32000.0,1200.0,4 out of 5,Super Area,"Ishwardas Bhuvan CHS, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Owner
942,2022-07-07,2.0,36000.0,620.0,3 out of 14,Carpet Area,Datta Pada,Mumbai,Semi-Furnished,Family,2.0,Contact Agent
943,2022-06-08,1.0,22000.0,280.0,3 out of 7,Carpet Area,"Suryodaya CHS, Prabhadevi",Mumbai,Unfurnished,Bachelors/Family,1.0,
944,2022-06-20,1.0,5500.0,385.0,3 out of 9,Carpet Area,"Manibhadra Avenue, Morya Nagar",Mumbai,Unfurnished,Family,1.0,Contact Agent
945,2022-05-25,,15000.0,704.0,5 out of 17,Carpet Area,,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Owner
946,2022-04-29,2.0,40000.0,710.0,3 out of 4,Carpet Area,Anushakti Nagar,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Owner
947,2022-04-29,1.0,28000.0,525.0,2 out of 8,Super Area,"Balkrishna, Goregaon East",Mumbai,Unfurnished,Bachelors/Family,,Contact Owner
948,2022-06-30,1.0,11000.0,390.0,Ground out of 4,Carpet Area,Mira Road East,Mumbai,Semi-Furnished,,1.0,Contact Agent
949,2022-07-06,2.0,40000.0,755.0,12 out of 31,Carpet Area,"Omkar Ananta, Goregaon East",Mumbai,Semi-Furnished,Bachelors,2.0,Contact Agent
950,2022-05-27,,45000.0,700.0,3 out of 7,,Oshiwara,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
951,2022-06-10,2.0,180000.0,,6 out of 10,,Bandra West,Mumbai,Semi-Furnished,Bachelors,3.0,Contact Agent
952,2022-06-24,3.0,160000.0,2000.0,,Carpet Area,"Flora Heights, Andheri West",Mumbai,Furnished,Family,3.0,Contact Agent
953,2022-07-01,2.0,36000.0,650.0,3 out of 4,Carpet Area,Tata Nagar,,Unfurnished,Family,,Contact Agent
954,,1.0,59000.0,470.0,26 out of 42,Carpet Area,,Mumbai,Semi-Furnished,Bachelors,1.0,
955,2022-06-30,1.0,40000.0,450.0,3 out of 8,Carpet Area,"TATA Housing Merwanjee Cama Park, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
956,2022-05-10,2.0,40000.0,625.0,6 out of 10,Super Area,Goregaon West,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Owner
957,2022-05-23,2.0,72000.0,700.0,3 out of 9,Carpet Area,Gulmohar Road,Mumbai,Furnished,Bachelors,2.0,
958,2022-07-07,2.0,40000.0,600.0,4 out of 10,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Family,2.0,Contact Agent
959,2022-06-11,2.0,16000.0,600.0,2 out of 3,Carpet Area,Nerul sector-3,Mumbai,Unfurnished,Family,1.0,Contact Owner
960,2022-06-27,2.0,50000.0,1100.0,14 out of 22,Super Area,"Magnum Tower CHS, Lokhandwala Complex",Mumbai,Furnished,Bachelors/Family,4.0,Contact Agent
961,2022-05-27,1.0,24000.0,370.0,5 out of 8,Carpet Area,"Kanakia Sanskruti, Thakur Complex",Mumbai,Semi-Furnished,Family,1.0,Contact Agent
962,2022-07-09,2.0,65000.0,950.0,2 out of 45,Carpet Area,"DB Woods, Gokuldham",Mumbai,,Bachelors/Family,2.0,Contact Agent
963,2022-07-07,,33000.0,825.0,12 out of 13,Super Area,Mulund East,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Owner
964,2022-06-16,2.0,27000.0,650.0,2 out of 7,Carpet Area,Kandivali West,Mumbai,,,2.0,Contact Agent
965,2022-06-14,2.0,52000.0,750.0,2 out of 9,Carpet Area,Oshiwara,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
966,,3.0,95000.0,900.0,4 out of 9,Carpet Area,"Dosti Flamingo, Sewri",Mumbai,Semi-Furnished,Family,3.0,Contact Agent
967,2022-07-06,2.0,68000.0,805.0,12 out of 68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
968,2022-07-09,2.0,48000.0,742.0,17 out of 36,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Unfurnished,Family,2.0,Contact Agent
969,2022-06-30,2.0,32000.0,550.0,4 out of 7,,"Shiv Ganga Apartment, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
970,2022-06-13,2.0,,745.0,10 out of 11,Carpet Area,"Akruti Orchid Park, Sakinaka Junction",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
971,2022-05-31,2.0,60000.0,800.0,2 out of 7,Carpet Area,"Kenmore Apartment, Lokhandwala Complex",Mumbai,Furnished,Family,2.0,Contact Agent
972,2022-06-12,3.0,51500.0,1265.0,10 out of 28,Carpet Area,"Ambrosia Apartment, Borivali East",Mumbai,Unfurnished,Family,3.0,Contact Agent
973,2022-07-09,3.0,130000.0,1800.0,10 out of 16,Super Area,Lokhandwala Complex,Mumbai,Unfurnished,Bachelors/Family,3.0,Contact Agent
974,2022-06-27,1.0,,325.0,17 out of 24,Carpet Area,"Mahalaxmi CHS, Worli",Mumbai,Furnished,Bachelors/Family,1.0,Contact Agent
975,2022-07-09,2.0,85000.0,902.0,41 out of 41,Carpet Area,"Lodha Fiorenza, Goregaon East",Mumbai,Semi-Furnished,,,Contact Agent
976,2022-07-06,3.0,98000.0,1233.0,14 out of 68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,,4.0,Contact Agent
977,2022-06-12,2.0,100000.0,750.0,Ground out of 6,Super Area,,Mumbai,Furnished,Bachelors/Family,2.0,Contact Owner
978,2022-05-21,2.0,65000.0,600.0,14 out of 17,Carpet Area,"Platinum Prive, Andheri West",Mumbai,Unfurnished,Bachelors,2.0,Contact Agent
979,2022-06-24,1.0,23000.0,500.0,3 out of 9,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,1.0,
980,2022-07-02,2.0,40000.0,600.0,15 out of 20,Carpet Area,Tilak Nagar - Harbour Line,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
981,2022-06-23,3.0,45000.0,950.0,15 out of 17,Carpet Area,,Mumbai,Unfurnished,Bachelors/Family,3.0,
982,2022-06-27,,40000.0,680.0,5 out of 7,Super Area,"Ballerina Apartment, Lokhandwala Complex",Mumbai,Furnished,Bachelors/Family,4.0,Contact Agent
983,2022-07-07,1.0,23500.0,400.0,1 out of 7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",,Unfurnished,Bachelors/Family,1.0,Contact Agent
984,2022-07-07,4.0,250000.0,2120.0,46 out of 76,Carpet Area,"Lodha Marquise, Worli Sea Face",Mumbai,Furnished,Bachelors/Family,5.0,Contact Agent
985,2022-07-01,3.0,110000.0,1350.0,12 out of 20,,"Atur Park, Chembur",Mumbai,Semi-Furnished,Bachelors,,Contact Agent
986,2022-06-20,3.0,150000.0,1600.0,,Carpet Area,JVPD Scheme,Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
987,2022-06-03,1.0,22000.0,430.0,4 out of 6,Carpet Area,Thakur Complex,Mumbai,Unfurnished,Family,1.0,Contact Agent
988,2022-07-09,4.0,150000.0,1937.0,20 out of 30,Carpet Area,"Raj Grandeur, Powai",Mumbai,Semi-Furnished,Bachelors/Family,5.0,Contact Agent
989,2022-06-07,2.0,75000.0,,4 out of 7,,Santacruz West,Mumbai,Semi-Furnished,Bachelors,3.0,
990,2022-05-22,2.0,41000.0,780.0,14 out of 18,Carpet Area,"Nirmal Lifestyle, LBS Marg",,Unfurnished,Bachelors/Family,2.0,Contact Agent
991,2022-06-02,4.0,150000.0,1300.0,5 out of 13,Carpet Area,"Kabra Centroid, Kalina",Mumbai,Semi-Furnished,Bachelors/Family,4.0,Contact Agent
992,2022-06-20,3.0,150000.0,1350.0,18 out of 32,Carpet Area,"Transcon Triumph, Lokhandwala Complex",Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
993,2022-05-14,2.0,53000.0,750.0,5 out of 18,Carpet Area,Chembur,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
994,,4.0,140000.0,1400.0,10 out of 25,,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,,3.0,Contact Agent
995,2022-06-28,4.0,200000.0,2000.0,17 out of 29,Carpet Area,"Raj Grandeur, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,5.0,Contact Agent
996,,2.0,65000.0,850.0,10 out of 31,Carpet Area,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,,Bachelors/Family,2.0,Contact Agent
997,2022-05-23,1.0,,,,Carpet Area,,Mumbai,Furnished,Bachelors,1.0,Contact Agent
998,2022-07-09,2.0,75000.0,900.0,,Super Area,"7 Bungalow, Seven Bungalows",Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
999,2022-06-23,2.0,,750.0,1 out of 3,,"Takshila CHS, Andheri East",Mumbai,Semi-Furnished,Family,2.0,Contact Agent
1000,2022-07-09,3.0,70000.0,1100.0,18 out of 22,,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
1001,2022-06-01,,1200000.0,5000.0,4 out of 15,Carpet Area,,Mumbai,Semi-Furnished,Bachelors/Family,4.0,Contact Agent
1002,2022-04-29,1.0,25000.0,596.0,1 out of 7,Super Area,Kandivali West,Mumbai,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
1003,2022-06-28,2.0,45000.0,680.0,3 out of 4,Carpet Area,"DLH Orchid, Lokhandwala Complex",Mumbai,Unfurnished,Bachelors,2.0,Contact Agent
1004,2022-05-17,4.0,190000.0,1950.0,11 out of 21,Carpet Area,"Godrej Serenity Mumbai, Chembur",Mumbai,Unfurnished,Bachelors/Family,4.0,Contact Agent
1005,2022-07-09,3.0,140000.0,1350.0,18 out of 32,Carpet Area,,,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
1006,2022-05-01,1.0,35000.0,510.0,3 out of 4,Carpet Area,Chakala Cigarette Factory,,Semi-Furnished,Bachelors/Family,,Contact Owner
1007,,1.0,60000.0,500.0,5 out of 7,,"Green Gate Apartment, Pali Hill",Mumbai,Furnished,Bachelors/Family,1.0,Contact Agent
1008,2022-04-29,1.0,15000.0,375.0,13 out of 16,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1.0,Contact Owner
1009,2022-05-21,1.0,39000.0,500.0,2 out of 7,Carpet Area,,Mumbai,,Family,1.0,
1010,2022-05-13,3.0,190000.0,1500.0,8 out of 10,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
1011,2022-06-20,3.0,84000.0,1000.0,18 out of 21,Carpet Area,"Lake Primrose, Powai",Mumbai,Furnished,Bachelors/Family,3.0,Contact Agent
1012,2022-05-31,3.0,68000.0,1260.0,27 out of 58,Carpet Area,"Alta Monte, Pathanwadi",Mumbai,,Family,3.0,Contact Agent
1013,2022-06-12,1.0,26000.0,475.0,8 out of 20,Carpet Area,"Dreams Complex, Bhandup West",Mumbai,Unfurnished,,2.0,
1014,2022-06-20,2.0,42000.0,620.0,6 out of 11,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Semi-Furnished,Family,2.0,Contact Agent
1015,2022-06-28,1.0,35000.0,490.0,1 out of 6,Carpet Area,Mukund Nagar,Mumbai,Furnished,Bachelors/Family,1.0,Contact Agent
1016,2022-07-09,2.0,44000.0,710.0,13 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
1017,2022-05-31,2.0,60000.0,720.0,4 out of 7,Carpet Area,Sindhi Society Chembur,Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
1018,2022-06-23,2.0,45000.0,770.0,2 out of 12,Carpet Area,Goregaon West,Mumbai,Semi-Furnished,Bachelors,2.0,Contact Agent
1019,2022-06-04,3.0,,1600.0,19 out of 25,Super Area,"Chaitanya Towers, Prabhadevi",,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
1020,2022-05-23,1.0,65000.0,500.0,Ground out of 5,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,1.0,Contact Agent
1021,2022-05-14,1.0,20000.0,350.0,1 out of 8,Super Area,Parel,Mumbai,Unfurnished,Bachelors/Family,1.0,Contact Owner
1022,2022-07-09,2.0,75000.0,1000.0,3 out of 15,Super Area,"7 Bungalow, Seven Bungalows",Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
1023,2022-07-09,5.0,500000.0,3900.0,4 out of 6,Carpet Area,Altamount Road,Mumbai,Furnished,Bachelors/Family,5.0,Contact Agent
1024,2022-06-30,3.0,,1000.0,,Carpet Area,Juhu,Mumbai,Semi-Furnished,Family,3.0,Contact Agent
1025,2022-07-06,2.0,,660.0,25 out of 43,Carpet Area,"Wadhwa Atmoshphere, Mulund West",Mumbai,Semi-Furnished,Bachelors,2.0,Contact Agent
1026,2022-05-25,1.0,9400.0,600.0,4 out of 6,Super Area,Bhayandar East,Mumbai,Semi-Furnished,Bachelors/Family,1.0,Contact Owner
1027,2022-06-22,2.0,,900.0,2 out of 12,Carpet Area,Santacruz West,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
1028,2022-06-20,,65000.0,750.0,2 out of 3,Carpet Area,"Ganpat Niketan Apartment, Khar West",Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
1029,2022-05-31,,230000.0,1000.0,2 out of 7,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
1030,2022-05-19,3.0,180000.0,1500.0,7 out of 12,Carpet Area,Bandra West,,Semi-Furnished,Bachelors,3.0,Contact Agent
1031,2022-05-19,2.0,180000.0,1200.0,7 out of 12,Carpet Area,,Mumbai,Furnished,Bachelors/Family,3.0,Contact Agent
1032,2022-06-25,3.0,120000.0,1200.0,10 out of 14,Carpet Area,Khar West,Mumbai,Furnished,Bachelors/Family,3.0,Contact Agent
1033,2022-07-07,1.0,20000.0,280.0,11 out of 24,Carpet Area,Century Bazaar,Mumbai,Semi-Furnished,Bachelors/Family,1.0,
1034,2022-05-19,2.0,130000.0,,10 out of 12,Carpet Area,Khar West,Mumbai,Furnished,Bachelors,2.0,
1035,2022-05-19,3.0,400000.0,1800.0,7 out of 14,Carpet Area,Pali Hill,Mumbai,,Bachelors,4.0,
1036,2022-06-22,2.0,75000.0,694.0,1 out of 7,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
1037,2022-05-31,,350000.0,3250.0,12 out of 18,Carpet Area,Deonar,Mumbai,Unfurnished,Family,5.0,Contact Agent
1038,2022-04-29,3.0,100000.0,1740.0,21 out of 22,Super Area,,Mumbai,Furnished,Bachelors/Family,4.0,Contact Owner
1039,2022-06-16,2.0,55000.0,750.0,8 out of 14,Carpet Area,Chembur,,Furnished,Bachelors/Family,2.0,Contact Agent
1040,2022-06-14,3.0,,1000.0,12 out of 20,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
1041,2022-06-29,1.0,30000.0,500.0,3 out of 4,Super Area,Sion,Mumbai,Furnished,Bachelors/Family,1.0,Contact Owner
1042,2022-06-28,4.0,330000.0,2000.0,11 out of 12,Carpet Area,Mehboob Studio,Mumbai,Semi-Furnished,Bachelors,5.0,Contact Agent
1043,2022-06-13,1.0,75000.0,,7 out of 10,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2.0,Contact Agent
1044,2022-06-27,1.0,14000.0,,6 out of 7,Carpet Area,Poisar,Mumbai,Unfurnished,,1.0,Contact Owner
1045,2022-07-06,3.0,130000.0,960.0,9 out of 21,Carpet Area,,Mumbai,Semi-Furnished,Family,3.0,Contact Agent
1046,2022-04-29,3.0,40000.0,1200.0,2 out of 4,Super Area,Kandivali West,Mumbai,Semi-Furnished,,2.0,Contact Owner
1047,2022-05-27,2.0,46000.0,710.0,15 out of 18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,2.0,Contact Agent
1048,2022-07-04,1.0,27000.0,472.0,13 out of 14,Carpet Area,"Marathon Embryo, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2.0,Contact Owner
1049,2022-05-26,2.0,95000.0,1000.0,10 out of 13,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,2.0,Contact Agent
1050,2022-07-09,2.0,94000.0,800.0,,Carpet Area,"Kanakia Hollywood, Sai Nagar",,Semi-Furnished,Family,2.0,Contact Agent
1051,2022-06-30,2.0,40000.0,650.0,7 out of 11,Carpet Area,,,Unfurnished,Bachelors,2.0,Contact Agent
1052,2022-07-04,3.0,150000.0,1300.0,6 out of 7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,3.0,Contact Agent
