age,is_working,job,marital,education,balance,housing,loan,contact,campaign,poutcome,offer,credit
54,no,management,divorced,tertiary,-125,no,yes,cellular,2,unknown,no,0
35,yes,admin.,married,secondary,304,no,no,cellular,1,unknown,yes,127
61,no,retired,married,secondary,173,no,no,unknown,2,unknown,no,40
56,no,blue-collar,married,primary,247,no,no,telephone,4,unknown,no,34
25,yes,student,single,secondary,331,no,no,telephone,4,unknown,yes,114
31,yes,technician,married,secondary,4182,yes,no,cellular,2,unknown,yes,1495
52,no,management,married,unknown,672,no,yes,cellular,1,unknown,no,33
49,no,blue-collar,married,primary,1050,yes,no,unknown,5,unknown,no,39
34,no,admin.,single,tertiary,1199,no,no,telephone,7,unknown,no,70
36,yes,blue-collar,married,primary,1177,no,no,cellular,1,success,yes,413
50,yes,technician,married,secondary,3370,no,no,cellular,2,unknown,yes,1198
52,yes,blue-collar,married,secondary,7119,no,yes,telephone,3,unknown,yes,2493
57,no,housemaid,divorced,primary,1198,no,no,cellular,1,unknown,no,82
34,no,technician,divorced,secondary,136,yes,no,cellular,2,unknown,no,0
55,no,blue-collar,married,unknown,728,yes,no,cellular,2,unknown,no,45
24,no,student,single,secondary,8165,no,no,cellular,1,unknown,yes,443
31,no,blue-collar,married,primary,229,no,no,telephone,2,unknown,no,0
51,no,blue-collar,divorced,primary,83,yes,no,unknown,4,unknown,no,0
33,no,management,single,tertiary,-75,yes,yes,cellular,8,unknown,no,0
51,yes,management,married,tertiary,346,no,no,cellular,1,success,yes,130
29,no,unemployed,married,tertiary,8,yes,no,unknown,1,unknown,no,0
48,no,admin.,divorced,secondary,-480,no,no,cellular,2,failure,no,0
38,no,management,married,unknown,3053,no,no,unknown,1,unknown,no,179
44,no,services,married,secondary,634,yes,no,cellular,2,unknown,no,36
43,no,housemaid,married,primary,1283,no,no,cellular,1,unknown,no,81
44,no,blue-collar,married,primary,3753,yes,no,unknown,4,unknown,no,194
49,yes,technician,divorced,secondary,305,no,no,cellular,2,unknown,yes,129
49,yes,admin.,divorced,secondary,168,yes,yes,unknown,1,unknown,yes,83
47,yes,blue-collar,married,unknown,162,no,no,cellular,3,unknown,yes,74
58,no,blue-collar,married,secondary,288,yes,no,unknown,7,unknown,no,0
56,no,blue-collar,married,secondary,244,yes,no,cellular,3,unknown,no,0
41,yes,admin.,married,secondary,3126,yes,no,cellular,1,failure,yes,1087
50,yes,entrepreneur,married,tertiary,6825,no,no,cellular,9,unknown,no,2401
28,no,management,single,tertiary,33,no,no,cellular,7,unknown,no,0
44,no,blue-collar,married,secondary,8666,no,no,telephone,1,unknown,no,449
50,no,management,married,secondary,-44,yes,no,unknown,1,unknown,no,0
48,yes,blue-collar,married,primary,492,no,yes,cellular,2,unknown,no,194
40,yes,admin.,married,secondary,1535,yes,no,unknown,1,unknown,yes,543
36,no,admin.,divorced,secondary,356,yes,no,cellular,3,failure,no,34
57,no,retired,married,primary,3123,yes,no,unknown,1,unknown,no,155
58,no,admin.,married,secondary,3927,no,no,cellular,3,failure,no,219
36,no,self-employed,married,primary,90,yes,no,unknown,2,unknown,no,0
32,no,technician,married,tertiary,-252,yes,no,cellular,4,unknown,no,0
78,no,retired,divorced,secondary,3417,no,no,cellular,1,success,yes,185
35,yes,services,married,secondary,341,yes,no,cellular,1,unknown,yes,123
33,no,management,single,tertiary,1956,no,no,telephone,1,unknown,no,100
38,yes,admin.,married,secondary,0,yes,no,cellular,1,success,yes,0
20,no,blue-collar,single,secondary,129,yes,yes,unknown,1,unknown,no,0
29,no,blue-collar,married,unknown,486,yes,no,cellular,1,failure,no,0
33,no,student,single,tertiary,3404,yes,no,cellular,2,failure,no,186
40,no,housemaid,divorced,primary,-21,yes,no,cellular,1,unknown,no,0
32,yes,technician,single,tertiary,1246,yes,no,cellular,1,success,yes,439
46,no,entrepreneur,married,primary,5130,yes,yes,cellular,1,unknown,no,263
52,no,admin.,divorced,tertiary,0,yes,yes,cellular,1,failure,no,0
51,no,technician,married,secondary,18,no,yes,cellular,6,unknown,no,33
36,yes,management,single,unknown,62,no,no,cellular,2,unknown,yes,43
40,no,unemployed,married,primary,3444,yes,no,unknown,4,unknown,no,190
32,no,blue-collar,married,secondary,-1500,yes,no,unknown,2,unknown,no,0
46,no,technician,married,secondary,0,no,no,cellular,1,unknown,no,0
25,no,student,single,secondary,722,yes,no,unknown,1,unknown,no,55
35,yes,technician,married,secondary,-180,no,yes,cellular,2,unknown,yes,0
36,no,retired,single,tertiary,1514,yes,no,cellular,3,unknown,no,90
36,no,admin.,married,secondary,3268,no,no,cellular,2,unknown,no,168
28,no,management,single,tertiary,191,yes,no,unknown,1,unknown,no,0
33,yes,management,single,tertiary,3161,yes,no,cellular,3,unknown,yes,1134
41,yes,blue-collar,married,secondary,203,no,no,cellular,2,unknown,yes,83
30,no,technician,single,tertiary,2784,no,no,cellular,1,unknown,no,159
34,yes,management,married,tertiary,158,no,no,cellular,2,failure,yes,69
35,no,management,divorced,tertiary,3837,yes,no,unknown,1,unknown,yes,203
41,no,services,married,primary,450,yes,no,unknown,2,unknown,no,46
33,no,management,single,tertiary,383,yes,no,cellular,1,unknown,no,36
48,no,technician,married,secondary,1526,no,no,cellular,2,unknown,no,105
46,yes,entrepreneur,divorced,secondary,-563,no,yes,cellular,4,unknown,yes,0
42,yes,unemployed,married,tertiary,576,no,no,cellular,1,unknown,yes,218
35,no,management,single,tertiary,0,no,no,cellular,8,unknown,no,0
46,no,self-employed,married,tertiary,8,no,no,cellular,1,unknown,no,0
37,no,technician,single,secondary,123,no,yes,cellular,1,unknown,no,0
47,no,housemaid,married,secondary,0,yes,no,telephone,2,unknown,no,0
36,yes,admin.,married,secondary,1207,yes,no,cellular,2,unknown,yes,430
34,no,services,married,secondary,244,no,no,cellular,2,unknown,no,0
33,no,blue-collar,single,primary,863,yes,no,telephone,3,unknown,yes,63
53,yes,housemaid,married,primary,0,no,no,cellular,1,unknown,no,32
36,yes,technician,married,primary,0,no,no,unknown,1,unknown,yes,0
56,yes,technician,married,tertiary,73,no,no,cellular,4,unknown,yes,40
36,yes,blue-collar,divorced,primary,666,yes,no,cellular,1,unknown,no,246
64,yes,retired,married,unknown,34,no,no,cellular,2,unknown,yes,32
42,no,management,single,tertiary,1,no,no,cellular,13,unknown,no,0
30,no,admin.,married,tertiary,501,yes,yes,cellular,1,unknown,no,40
58,yes,unemployed,married,secondary,1625,no,no,cellular,2,unknown,yes,592
33,yes,technician,married,secondary,105,yes,yes,unknown,1,unknown,no,37
34,no,management,married,tertiary,-218,yes,no,cellular,2,unknown,no,0
36,no,management,married,secondary,1825,yes,no,cellular,1,failure,no,99
29,no,management,single,tertiary,5980,yes,no,unknown,1,unknown,no,311
35,no,admin.,married,secondary,3863,yes,no,cellular,1,failure,no,188
48,no,management,divorced,unknown,343,no,no,cellular,1,unknown,no,41
23,no,services,single,secondary,250,yes,no,cellular,1,unknown,no,0
36,yes,management,married,tertiary,1604,yes,no,unknown,3,unknown,no,592
40,no,admin.,married,secondary,2591,yes,yes,cellular,1,other,no,158
83,yes,retired,married,primary,425,no,no,telephone,1,success,yes,152
46,no,management,single,tertiary,2278,no,no,cellular,5,unknown,no,128
42,no,technician,single,secondary,417,no,no,cellular,1,unknown,no,40
49,no,services,married,secondary,0,no,no,cellular,4,unknown,no,0
50,no,blue-collar,married,secondary,2013,no,yes,cellular,1,unknown,no,126
28,yes,student,single,secondary,1925,no,no,cellular,1,failure,yes,708
43,no,admin.,married,secondary,817,yes,yes,cellular,1,unknown,no,52
45,yes,management,married,tertiary,2220,yes,no,cellular,2,unknown,no,796
45,yes,technician,single,tertiary,2033,no,no,cellular,5,success,yes,729
56,no,management,married,tertiary,2366,yes,yes,cellular,2,failure,no,140
26,no,management,single,secondary,-38,no,no,cellular,2,unknown,no,0
36,yes,services,married,secondary,30,no,yes,cellular,5,unknown,yes,35
54,yes,self-employed,married,tertiary,990,no,no,cellular,2,unknown,yes,360
36,no,blue-collar,married,primary,656,yes,no,cellular,4,unknown,no,44
28,no,student,single,secondary,970,no,no,telephone,1,unknown,no,47
34,no,management,single,tertiary,1396,yes,no,cellular,1,unknown,no,96
31,yes,blue-collar,single,secondary,501,yes,no,cellular,1,unknown,no,197
47,yes,admin.,divorced,primary,1095,yes,no,cellular,1,other,no,408
35,no,housemaid,married,primary,218,yes,no,cellular,1,unknown,no,30
36,no,management,single,tertiary,671,yes,no,cellular,1,failure,no,42
39,no,services,single,secondary,-189,yes,no,unknown,9,unknown,no,0
37,no,management,married,tertiary,0,no,no,cellular,4,unknown,no,0
30,yes,student,single,tertiary,3026,no,no,cellular,1,failure,yes,1061
38,no,blue-collar,married,primary,489,yes,no,cellular,1,unknown,no,0
45,no,blue-collar,married,primary,512,no,no,cellular,2,unknown,no,35
42,no,blue-collar,married,unknown,408,yes,no,unknown,2,unknown,no,0
36,no,management,single,tertiary,13,no,yes,cellular,1,unknown,no,0
33,no,management,single,tertiary,7419,yes,no,cellular,8,failure,no,397
44,yes,management,divorced,tertiary,-411,yes,no,unknown,4,unknown,yes,0
24,yes,technician,single,secondary,409,yes,no,unknown,1,unknown,yes,155
30,yes,admin.,married,secondary,1265,yes,yes,unknown,2,unknown,yes,446
42,yes,housemaid,divorced,primary,273,no,no,cellular,1,unknown,no,129
28,no,admin.,single,secondary,659,no,no,cellular,2,unknown,no,34
37,no,technician,married,secondary,712,yes,no,cellular,2,unknown,no,35
28,no,blue-collar,married,primary,507,yes,no,unknown,1,unknown,no,39
52,yes,services,married,secondary,0,no,no,cellular,4,unknown,no,0
63,no,retired,married,secondary,415,yes,no,cellular,1,unknown,no,44
24,yes,student,single,tertiary,235,no,no,cellular,1,unknown,yes,91
31,yes,services,single,secondary,181,no,no,cellular,1,unknown,yes,77
51,no,management,single,tertiary,1202,yes,no,cellular,1,unknown,no,58
54,no,retired,divorced,primary,308,yes,no,cellular,3,unknown,no,0
62,yes,retired,married,secondary,1495,no,no,cellular,1,success,yes,512
44,no,blue-collar,single,secondary,25,yes,no,cellular,3,unknown,no,0
55,yes,housemaid,divorced,primary,976,no,no,cellular,1,other,yes,349
48,no,services,married,secondary,22,no,no,cellular,2,unknown,no,0
35,yes,management,married,tertiary,1550,yes,no,unknown,2,unknown,no,555
59,no,retired,married,secondary,1080,no,no,cellular,2,unknown,no,61
28,no,student,single,secondary,0,no,no,cellular,20,unknown,yes,0
55,no,management,married,tertiary,5709,yes,no,cellular,1,unknown,no,312
35,yes,blue-collar,single,secondary,855,yes,no,cellular,1,success,yes,310
35,no,management,married,secondary,339,yes,no,unknown,1,unknown,no,33
59,yes,blue-collar,married,secondary,410,yes,no,cellular,1,unknown,no,150
35,no,management,married,tertiary,552,yes,yes,cellular,2,failure,no,45
39,no,admin.,married,secondary,1221,no,no,unknown,1,unknown,no,83
38,no,technician,married,tertiary,51,no,no,telephone,9,unknown,no,0
45,no,entrepreneur,married,tertiary,3689,yes,no,cellular,1,failure,no,205
40,yes,admin.,married,secondary,2574,yes,no,cellular,1,failure,yes,911
58,no,housemaid,married,primary,422,no,no,unknown,1,unknown,no,38
60,no,admin.,divorced,secondary,0,no,yes,telephone,7,unknown,no,0
36,yes,services,married,secondary,279,no,no,unknown,6,unknown,no,116
46,no,admin.,married,secondary,2533,no,no,cellular,1,unknown,no,135
32,yes,admin.,married,tertiary,284,yes,no,cellular,3,unknown,yes,112
49,no,blue-collar,married,primary,352,yes,no,unknown,2,unknown,no,0
47,no,blue-collar,single,secondary,263,yes,yes,cellular,2,other,no,0
51,no,management,divorced,tertiary,2011,yes,no,cellular,3,unknown,no,143
31,no,management,married,tertiary,69,no,no,cellular,2,unknown,no,0
44,yes,entrepreneur,married,tertiary,121,no,no,cellular,1,unknown,yes,70
61,yes,retired,married,tertiary,32685,no,no,cellular,2,unknown,yes,11443
36,yes,technician,married,secondary,1368,no,no,cellular,1,failure,yes,501
48,no,technician,married,secondary,32,yes,yes,cellular,2,unknown,no,0
32,no,blue-collar,married,primary,158,yes,no,unknown,4,unknown,no,0
56,no,technician,divorced,secondary,672,no,no,cellular,9,unknown,no,67
31,yes,blue-collar,married,secondary,2,yes,no,unknown,2,unknown,yes,0
35,no,admin.,married,secondary,287,yes,no,cellular,3,failure,no,34
54,no,self-employed,divorced,secondary,1374,yes,no,unknown,2,unknown,no,73
50,no,services,married,secondary,1321,no,no,unknown,2,unknown,no,73
36,no,housemaid,married,secondary,419,yes,no,unknown,1,unknown,no,0
38,no,technician,divorced,tertiary,915,yes,no,cellular,7,other,no,89
58,no,blue-collar,married,secondary,3148,no,yes,cellular,2,unknown,no,153
37,no,blue-collar,married,unknown,444,no,no,cellular,1,other,no,0
36,yes,blue-collar,married,secondary,274,yes,no,unknown,11,unknown,yes,110
37,no,technician,single,secondary,-242,yes,no,cellular,6,unknown,yes,0
55,yes,technician,married,secondary,3899,yes,no,telephone,4,unknown,yes,1370
29,yes,unemployed,single,unknown,1584,no,no,cellular,1,unknown,yes,582
36,no,admin.,married,secondary,4785,no,yes,unknown,1,unknown,no,254
24,no,services,single,secondary,77,yes,yes,unknown,2,unknown,no,0
56,no,retired,married,secondary,1956,no,no,cellular,2,unknown,no,98
32,yes,blue-collar,married,primary,1644,no,no,cellular,3,other,yes,579
34,no,technician,married,secondary,367,yes,no,unknown,1,unknown,no,47
69,no,retired,married,unknown,426,no,no,telephone,1,unknown,yes,41
36,no,technician,single,secondary,1832,yes,no,unknown,1,unknown,no,100
28,no,blue-collar,married,secondary,110,yes,no,unknown,1,unknown,no,0
42,no,management,married,secondary,275,yes,no,cellular,6,unknown,no,37
23,yes,services,single,secondary,279,yes,no,cellular,1,failure,yes,103
39,no,management,married,tertiary,12855,yes,no,cellular,4,failure,no,653
39,no,blue-collar,married,primary,477,yes,yes,cellular,2,unknown,no,0
65,yes,housemaid,married,primary,715,no,no,cellular,1,unknown,yes,290
55,no,housemaid,single,primary,0,no,no,unknown,1,unknown,no,0
44,no,management,married,tertiary,764,no,yes,cellular,5,unknown,no,47
72,yes,retired,married,secondary,0,no,no,cellular,3,unknown,yes,0
29,no,housemaid,married,tertiary,96,yes,no,cellular,1,unknown,no,0
29,no,technician,married,tertiary,-983,yes,yes,cellular,2,unknown,no,0
39,no,blue-collar,married,primary,50,no,no,cellular,2,unknown,no,0
33,no,blue-collar,married,secondary,625,yes,no,unknown,1,unknown,no,38
34,no,admin.,married,tertiary,882,no,no,cellular,1,success,no,48
25,no,admin.,single,secondary,483,no,yes,cellular,1,success,no,41
31,yes,blue-collar,married,secondary,1495,yes,yes,unknown,3,unknown,no,541
50,no,blue-collar,married,primary,2212,yes,no,unknown,1,unknown,no,138
57,yes,entrepreneur,married,secondary,926,no,no,unknown,3,unknown,no,350
42,yes,blue-collar,single,primary,177,yes,no,cellular,2,unknown,no,80
56,no,blue-collar,married,primary,770,yes,no,unknown,3,unknown,no,45
37,no,management,married,tertiary,8821,yes,no,cellular,1,unknown,no,446
31,no,technician,married,secondary,0,no,no,cellular,4,unknown,no,0
35,no,blue-collar,married,secondary,2737,yes,no,cellular,3,unknown,no,157
27,yes,blue-collar,single,primary,232,yes,no,cellular,2,unknown,yes,92
33,no,blue-collar,single,primary,92,yes,no,unknown,1,unknown,no,0
58,no,admin.,married,unknown,5763,no,no,cellular,1,unknown,no,320
32,no,blue-collar,married,secondary,2526,yes,no,unknown,8,unknown,no,146
23,yes,student,single,secondary,922,no,no,cellular,2,failure,yes,341
31,no,unemployed,single,unknown,167,no,no,cellular,1,unknown,no,0
37,no,blue-collar,married,primary,120,yes,no,cellular,4,other,no,0
43,no,services,married,secondary,94,yes,yes,telephone,1,unknown,no,0
32,no,admin.,married,secondary,344,yes,yes,cellular,15,unknown,no,32
31,yes,technician,married,secondary,-367,yes,no,cellular,2,unknown,yes,0
33,yes,admin.,married,tertiary,79,yes,no,cellular,2,failure,yes,38
60,no,housemaid,married,unknown,10285,no,no,unknown,2,unknown,no,514
34,yes,management,married,tertiary,0,yes,no,cellular,1,unknown,yes,0
41,no,blue-collar,married,secondary,72,yes,no,cellular,3,failure,no,0
21,no,student,single,secondary,6844,no,no,cellular,3,other,no,359
32,no,technician,married,secondary,12,yes,yes,cellular,2,unknown,no,0
35,no,blue-collar,married,secondary,407,yes,no,cellular,6,unknown,no,38
60,no,services,married,secondary,594,yes,no,cellular,7,other,no,53
40,yes,services,divorced,secondary,687,yes,no,cellular,1,success,yes,248
31,no,management,single,tertiary,363,no,no,cellular,2,unknown,no,66
34,yes,blue-collar,single,primary,79,no,no,telephone,4,unknown,yes,46
42,yes,blue-collar,married,primary,-407,yes,yes,cellular,7,unknown,yes,0
34,no,entrepreneur,married,tertiary,145,yes,yes,cellular,10,unknown,no,33
28,no,blue-collar,married,secondary,1296,yes,yes,cellular,5,unknown,no,70
40,yes,management,single,tertiary,0,yes,no,cellular,2,failure,yes,0
40,no,services,single,secondary,573,yes,no,cellular,1,unknown,no,54
46,no,technician,married,secondary,152,no,no,cellular,1,unknown,no,0
52,no,unemployed,married,primary,20,yes,no,telephone,1,unknown,no,0
55,yes,admin.,married,unknown,2038,no,no,cellular,1,unknown,yes,732
32,no,blue-collar,married,secondary,1912,yes,no,telephone,1,unknown,no,104
27,yes,services,single,tertiary,5883,yes,no,unknown,2,unknown,no,2089
30,no,technician,married,secondary,394,no,no,cellular,13,unknown,no,43
45,no,technician,married,secondary,366,no,yes,cellular,2,failure,no,46
58,no,housemaid,married,primary,935,yes,no,unknown,2,unknown,no,51
34,yes,blue-collar,married,primary,-1,yes,no,cellular,6,other,yes,0
37,no,management,married,tertiary,0,no,no,cellular,1,failure,no,0
46,no,blue-collar,divorced,primary,916,yes,no,cellular,2,unknown,no,57
27,no,admin.,single,secondary,662,yes,no,unknown,1,unknown,no,58
35,yes,housemaid,married,primary,113,yes,no,cellular,2,unknown,yes,50
37,yes,management,single,tertiary,240,no,no,unknown,1,unknown,yes,89
57,no,technician,divorced,secondary,1168,no,no,unknown,5,unknown,no,79
37,no,management,married,tertiary,1780,yes,no,cellular,1,unknown,no,117
40,no,technician,married,secondary,169,yes,no,cellular,4,unknown,no,0
34,no,blue-collar,married,primary,2320,yes,no,cellular,1,unknown,no,138
34,yes,admin.,married,secondary,48,yes,no,cellular,2,other,yes,0
37,no,management,single,tertiary,361,no,no,cellular,2,unknown,no,48
34,no,management,single,tertiary,808,no,no,cellular,2,other,no,64
31,no,services,single,secondary,0,yes,no,unknown,2,unknown,no,30
26,no,student,single,tertiary,193,no,no,cellular,2,unknown,no,0
33,no,management,single,tertiary,136,yes,yes,unknown,6,unknown,no,0
28,yes,unemployed,single,tertiary,497,yes,no,cellular,6,unknown,yes,184
60,no,housemaid,married,primary,2270,yes,no,cellular,1,unknown,no,115
64,yes,retired,married,tertiary,846,no,no,cellular,1,failure,yes,318
53,no,blue-collar,married,secondary,380,yes,yes,cellular,1,failure,no,0
50,no,blue-collar,married,secondary,326,no,no,cellular,9,unknown,no,37
33,yes,self-employed,married,secondary,409,no,no,cellular,1,success,yes,163
30,yes,technician,single,tertiary,2325,no,no,cellular,1,failure,yes,842
40,no,admin.,married,secondary,767,yes,no,cellular,1,unknown,no,60
37,yes,technician,single,tertiary,0,no,no,unknown,2,unknown,yes,0
60,yes,housemaid,married,primary,1163,no,no,cellular,8,unknown,yes,433
44,no,management,married,tertiary,0,no,no,unknown,1,unknown,no,0
31,yes,management,single,tertiary,924,no,no,cellular,1,success,yes,353
53,no,blue-collar,married,secondary,1777,yes,no,unknown,1,unknown,no,85
34,no,unemployed,married,secondary,2126,yes,no,cellular,2,unknown,no,120
46,yes,management,married,tertiary,273,yes,no,cellular,1,failure,yes,100
30,no,admin.,single,secondary,3068,yes,no,cellular,2,unknown,no,172
51,no,unemployed,divorced,secondary,-56,yes,no,cellular,3,unknown,no,0
40,no,blue-collar,married,secondary,617,yes,no,cellular,1,unknown,no,60
48,no,blue-collar,married,primary,418,yes,no,unknown,3,unknown,no,46
59,yes,retired,married,primary,1115,no,no,unknown,1,unknown,yes,398
27,no,blue-collar,married,secondary,613,yes,no,unknown,3,unknown,no,31
64,no,unemployed,divorced,secondary,588,no,no,cellular,1,unknown,yes,51
50,no,blue-collar,married,primary,383,no,no,telephone,2,unknown,no,37
52,no,blue-collar,married,secondary,161,yes,no,unknown,2,unknown,no,0
53,no,management,married,tertiary,6408,no,no,unknown,1,unknown,no,340
29,yes,management,single,tertiary,265,no,no,cellular,2,success,yes,105
30,no,admin.,married,primary,40,yes,yes,cellular,1,unknown,no,0
29,yes,admin.,single,secondary,266,yes,no,cellular,1,unknown,yes,100
47,yes,housemaid,married,secondary,3940,yes,no,cellular,3,failure,yes,1375
40,no,self-employed,married,primary,42,no,no,cellular,3,unknown,no,0
32,no,management,single,tertiary,354,no,no,cellular,2,other,yes,0
36,no,management,married,secondary,1898,yes,yes,unknown,1,unknown,no,110
46,no,admin.,married,unknown,2033,no,no,cellular,2,failure,no,122
47,no,services,married,secondary,344,yes,no,unknown,1,unknown,no,34
32,yes,management,single,tertiary,3,yes,no,cellular,1,unknown,yes,0
38,no,entrepreneur,single,tertiary,638,yes,no,unknown,1,unknown,no,53
26,yes,management,single,tertiary,6840,yes,no,unknown,2,unknown,yes,2403
55,no,blue-collar,married,primary,-317,yes,no,unknown,1,unknown,no,0
34,no,blue-collar,married,secondary,577,no,no,unknown,1,unknown,no,58
31,no,admin.,single,secondary,523,no,yes,cellular,1,failure,no,38
30,yes,management,married,tertiary,1996,no,no,cellular,3,other,yes,724
62,yes,entrepreneur,married,secondary,3904,no,no,telephone,2,unknown,yes,1391
50,no,housemaid,married,primary,395,yes,no,unknown,2,unknown,no,37
36,no,technician,married,secondary,1345,yes,no,cellular,1,failure,no,78
52,no,management,married,tertiary,0,no,no,cellular,2,unknown,no,0
33,no,technician,divorced,secondary,464,no,no,cellular,4,unknown,no,37
31,no,admin.,single,tertiary,7505,yes,yes,unknown,1,unknown,no,383
34,no,management,single,unknown,1534,yes,no,cellular,1,other,no,94
25,yes,student,single,unknown,3,no,no,cellular,1,unknown,yes,0
48,yes,unemployed,single,tertiary,3229,no,no,unknown,1,unknown,yes,1144
25,yes,blue-collar,single,primary,2483,no,no,cellular,3,unknown,yes,881
43,no,entrepreneur,married,tertiary,903,yes,no,cellular,1,unknown,no,71
50,no,unemployed,married,tertiary,377,no,no,cellular,1,failure,no,35
23,yes,blue-collar,single,secondary,780,yes,no,cellular,1,unknown,yes,288
33,yes,management,married,tertiary,5878,no,no,cellular,1,failure,yes,2091
32,no,management,married,tertiary,396,yes,no,cellular,3,unknown,no,0
36,no,technician,divorced,tertiary,1023,yes,no,cellular,4,unknown,no,75
28,yes,technician,married,secondary,1086,yes,no,cellular,3,unknown,yes,385
50,yes,technician,divorced,secondary,-556,yes,yes,cellular,2,unknown,no,0
38,no,self-employed,married,tertiary,3139,yes,no,cellular,2,unknown,no,181
42,no,admin.,single,secondary,1022,yes,no,unknown,2,unknown,no,75
54,yes,services,married,unknown,0,yes,no,cellular,2,other,yes,0
48,no,management,married,tertiary,0,yes,no,cellular,1,unknown,no,31
28,no,blue-collar,married,secondary,1137,no,no,cellular,4,other,no,70
53,no,management,married,tertiary,12,no,no,cellular,10,unknown,no,0
43,no,blue-collar,married,primary,-77,yes,no,unknown,1,unknown,no,0
28,yes,technician,single,secondary,2335,no,no,cellular,1,unknown,yes,826
28,yes,management,single,tertiary,6551,no,no,cellular,1,unknown,yes,2321
28,yes,admin.,divorced,secondary,451,yes,no,cellular,1,success,yes,157
49,no,blue-collar,married,primary,239,no,no,cellular,3,unknown,no,0
45,no,management,divorced,tertiary,2096,no,no,cellular,2,unknown,no,135
54,no,self-employed,married,primary,0,no,yes,telephone,2,unknown,no,0
31,yes,self-employed,single,tertiary,3343,no,no,cellular,1,success,yes,1173
38,yes,technician,single,secondary,1130,no,no,cellular,2,success,yes,413
39,yes,blue-collar,single,primary,1522,no,no,unknown,4,unknown,no,549
50,yes,services,married,secondary,1501,no,no,cellular,4,unknown,yes,543
30,no,technician,single,tertiary,0,no,no,cellular,2,unknown,no,0
31,no,blue-collar,married,secondary,1787,yes,no,unknown,4,unknown,no,98
55,no,housemaid,married,primary,1870,no,no,unknown,1,unknown,no,118
23,yes,management,single,tertiary,2143,no,no,cellular,2,unknown,yes,758
40,no,self-employed,married,secondary,0,no,no,cellular,6,unknown,no,0
35,no,self-employed,married,secondary,1256,yes,no,cellular,7,unknown,no,75
36,no,unemployed,married,primary,646,no,no,cellular,2,unknown,no,50
42,yes,technician,single,secondary,541,yes,no,cellular,1,unknown,yes,191
38,no,management,married,tertiary,2548,yes,no,unknown,1,unknown,no,147
32,yes,blue-collar,married,secondary,783,yes,no,unknown,3,unknown,yes,292
18,yes,student,single,unknown,108,no,no,cellular,1,unknown,yes,38
32,no,management,single,tertiary,1836,no,no,cellular,9,unknown,no,106
33,yes,self-employed,married,tertiary,1278,no,no,cellular,1,unknown,yes,475
49,no,services,married,secondary,47,no,no,unknown,2,unknown,no,0
40,yes,blue-collar,married,secondary,1808,yes,no,cellular,1,unknown,yes,643
54,no,housemaid,married,tertiary,440,no,no,cellular,1,unknown,no,40
32,yes,technician,single,tertiary,2684,yes,no,cellular,2,unknown,yes,959
60,yes,self-employed,married,primary,362,no,yes,cellular,6,unknown,yes,140
21,yes,student,single,secondary,2488,no,no,cellular,6,success,yes,893
55,no,retired,married,secondary,103,yes,yes,cellular,1,unknown,no,0
50,yes,management,married,secondary,1457,no,yes,cellular,1,unknown,no,543
26,no,student,single,unknown,598,no,no,cellular,1,unknown,no,0
37,no,self-employed,married,tertiary,208,yes,no,cellular,5,unknown,no,34
41,no,technician,divorced,secondary,988,no,no,cellular,2,unknown,no,63
47,no,management,married,tertiary,5999,yes,no,cellular,2,unknown,no,316
52,no,management,married,primary,98,yes,no,cellular,1,failure,no,0
33,no,management,single,tertiary,275,no,no,cellular,1,unknown,no,0
33,yes,blue-collar,single,primary,-104,yes,no,cellular,10,other,no,0
32,yes,technician,single,tertiary,1855,no,no,cellular,2,other,yes,664
30,no,management,married,tertiary,367,no,no,cellular,2,unknown,no,34
43,no,blue-collar,divorced,primary,42,no,no,unknown,1,unknown,no,0
34,no,entrepreneur,married,tertiary,0,yes,no,telephone,1,unknown,no,31
34,yes,management,married,tertiary,1240,yes,no,cellular,1,unknown,no,475
62,yes,retired,married,primary,1742,no,no,cellular,2,other,yes,641
37,no,management,divorced,tertiary,481,yes,no,cellular,6,unknown,no,58
62,no,services,married,primary,276,no,no,cellular,2,unknown,no,42
44,no,services,divorced,secondary,7,yes,yes,unknown,3,unknown,no,0
26,yes,admin.,single,secondary,581,yes,yes,unknown,3,unknown,no,200
32,no,blue-collar,married,primary,902,yes,no,unknown,2,unknown,no,56
24,no,blue-collar,single,secondary,-287,yes,no,cellular,1,unknown,no,0
35,yes,blue-collar,divorced,secondary,0,yes,no,unknown,1,unknown,yes,0
34,no,blue-collar,divorced,primary,0,yes,no,cellular,5,unknown,no,0
55,no,retired,married,secondary,785,yes,no,cellular,1,failure,no,67
48,yes,management,married,tertiary,1147,no,no,cellular,1,success,yes,417
38,no,technician,single,secondary,1270,yes,yes,cellular,1,other,no,79
24,yes,student,single,secondary,3176,no,no,cellular,2,unknown,yes,1124
34,yes,admin.,married,secondary,-33,yes,yes,cellular,1,unknown,yes,0
47,no,management,married,tertiary,260,no,yes,cellular,2,unknown,no,45
27,no,blue-collar,single,secondary,5563,yes,no,unknown,2,unknown,no,295
37,no,technician,married,secondary,157,yes,no,unknown,2,unknown,no,0
33,no,blue-collar,married,secondary,7048,yes,no,cellular,2,unknown,no,368
59,no,unemployed,divorced,secondary,2026,no,no,cellular,1,unknown,no,119
26,no,blue-collar,single,secondary,2613,no,no,cellular,2,unknown,no,158
